org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     
ce10.chrV      	phRAIDER       	41             	42             	40             	0.952          	2              	0.689          	0.784          	8              	0              	0              	0.963          	0.75
ce10.chrV      	phRAIDER       	21             	42             	40             	0.952          	2              	0.689          	0.785          	9              	618151936      	740433920      	0.962          	0.744
ce10.chrV      	phRAIDER       	20             	42             	40             	0.952          	2              	0.695          	0.779          	9              	681668608      	804048896      	0.965          	0.754
ce10.chrV      	phRAIDER       	10             	42             	40             	0.952          	2              	0.689          	0.775          	9              	0              	0              	0.959          	0.743
ce10.chrV      	phRAIDER       	16             	42             	40             	0.952          	2              	NA             	NA             	7              	346873856      	469196800      	NA             	NA
ce10.chrV      	phRAIDER       	6              	42             	40             	0.952          	2              	0.688          	0.783          	9              	617906176      	740204544      	0.96           	0.743
ce10.chrV      	phRAIDER       	2              	42             	40             	0.952          	2              	0.688          	0.783          	9              	617938944      	740204544      	0.96           	0.743
ce10.chrV      	phRAIDER       	23             	43             	40             	0.93           	2              	0.701          	0.778          	8              	0              	0              	0.965          	0.76
ce10.chrV      	phRAIDER       	38             	43             	40             	0.93           	2              	0.706          	0.776          	9              	619057152      	741421056      	0.965          	0.759
ce10.chrV      	phRAIDER       	22             	44             	40             	0.909          	2              	0.692          	0.784          	9              	169222144      	291590144      	0.96           	0.746
ce10.chrV      	phRAIDER       	40             	45             	40             	0.889          	2              	0.706          	0.769          	9              	619147264      	741535744      	0.964          	0.763
ce10.chrV      	phRAIDER       	37             	45             	40             	0.889          	2              	0.704          	0.776          	10             	617091072      	741179392      	0.962          	0.762
ce10.chrV      	phRAIDER       	39             	46             	40             	0.87           	2              	0.706          	0.767          	10             	690204672      	812560384      	0.964          	0.77
ce10.chrV      	phRAIDER       	24             	46             	40             	0.87           	2              	0.701          	0.751          	8              	0              	0              	0.966          	0.765
ce10.chrV      	phRAIDER       	33             	48             	40             	0.833          	2              	0.706          	0.769          	10             	683012096      	807165952      	0.966          	0.772
ce10.chrV      	phRAIDER       	35             	49             	40             	0.816          	2              	0.701          	0.769          	10             	0              	0              	0.968          	0.777
ce10.chrV      	phRAIDER       	25             	49             	40             	0.816          	2              	0.698          	0.76           	9              	605302784      	727740416      	0.968          	0.769
ce10.chrV      	phRAIDER       	27             	49             	40             	0.816          	2              	NA             	NA             	7              	357904384      	480276480      	NA             	NA
ce10.chrV      	phRAIDER       	36             	50             	40             	0.8            	2              	0.7            	0.764          	9              	620195840      	742633472      	0.967          	0.777
ce10.chrV      	phRAIDER       	32             	51             	40             	0.784          	2              	0.703          	0.765          	9              	349413376      	471752704      	0.965          	0.778
ce10.chrV      	phRAIDER       	26             	52             	40             	0.769          	2              	0.699          	0.754          	9              	618721280      	742789120      	0.968          	0.771
ce10.chrV      	phRAIDER       	34             	52             	40             	0.769          	2              	0.7            	0.758          	9              	676188160      	798531584      	0.969          	0.779
ce10.chrV      	phRAIDER       	28             	59             	40             	0.678          	2              	0.703          	0.751          	10             	0              	0              	0.973          	0.787
ce10.chrV      	phRAIDER       	30             	60             	40             	0.667          	2              	0.703          	0.754          	10             	621707264      	744132608      	0.972          	0.786
ce10.chrV      	phRAIDER       	31             	61             	40             	0.656          	2              	0.7            	0.754          	9              	164372480      	286720000      	0.973          	0.792
ce10.chrV      	phRAIDER       	45             	64             	40             	0.625          	2              	0.699          	0.745          	10             	686284800      	808620032      	0.971          	0.789
ce10.chrV      	phRAIDER       	43             	66             	40             	0.606          	2              	0.695          	0.756          	10             	601079808      	723521536      	0.962          	0.791
ce10.chrV      	phRAIDER       	29             	66             	40             	0.606          	2              	0.695          	0.745          	11             	358100992      	480440320      	0.971          	0.792
ce10.chrV      	phRAIDER       	46             	67             	40             	0.597          	2              	0.699          	0.75           	11             	620421120      	744435712      	0.972          	0.792
ce10.chrV      	phRAIDER       	44             	78             	40             	0.513          	2              	0.676          	0.755          	11             	675876864      	798257152      	0.97           	0.806
ce10.chrV      	phRAIDER       	42             	79             	40             	0.506          	2              	0.677          	0.757          	11             	661495808      	783777792      	0.978          	0.801
ce10.chrV      	phRAIDER       	47             	83             	40             	0.482          	2              	0.669          	0.761          	12             	693764096      	816238592      	0.964          	0.8
ce10.chrV      	phRAIDER       	48             	87             	40             	0.46           	2              	0.667          	0.755          	11             	694034432      	816508928      	0.959          	0.801
ce10.chrV      	phRAIDER       	49             	94             	40             	0.426          	2              	0.652          	0.774          	11             	694824960      	817315840      	0.969          	0.807
hg38.chr22     	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.165          	0.967          	28833          	309698560      	468901888      	0.989          	0.472
hg38.chr22     	phRAIDER       	0              	40             	0              	0.0            	2              	0.0            	1.0            	3603           	125882368      	298819584      	-1             	-1
hg38.chr22     	phRAIDER       	11             	41             	40             	0.976          	2              	0.143          	0.833          	40             	904851456      	1027194880     	0.971          	0.472
hg38.chr22     	phRAIDER       	15             	41             	40             	0.976          	2              	0.144          	0.798          	42             	242323456      	364740608      	0.972          	0.474
hg38.chr22     	phRAIDER       	3              	41             	40             	0.976          	2              	0.143          	0.842          	41             	692142080      	814489600      	0.971          	0.47
hg38.chr22     	phRAIDER       	7              	41             	40             	0.976          	2              	0.143          	0.842          	39             	251453440      	375119872      	0.971          	0.47
hg38.chr22     	phRAIDER       	17             	41             	40             	0.976          	2              	0.144          	0.846          	40             	352518144      	474742784      	0.972          	0.474
hg38.chr22     	phRAIDER       	9              	41             	40             	0.976          	2              	0.143          	0.837          	42             	33316864       	157286400      	0.97           	0.472
hg38.chr22     	phRAIDER       	13             	41             	40             	0.976          	2              	0.144          	0.822          	41             	2683052032     	2805342208     	0.972          	0.472
hg38.chr22     	phRAIDER       	1              	41             	40             	0.976          	2              	0.143          	0.842          	41             	2654183424     	2776559616     	0.971          	0.47
hg38.chr22     	phRAIDER       	5              	41             	40             	0.976          	2              	0.143          	0.842          	41             	675741696      	797999104      	0.971          	0.47
hg38.chr22     	phRAIDER       	19             	41             	40             	0.976          	2              	0.144          	0.839          	41             	623788032      	812625920      	0.972          	0.474
hg38.chr22     	phRAIDER       	10             	42             	40             	0.952          	2              	0.143          	0.843          	41             	2673975296     	2797985792     	0.97           	0.474
hg38.chr22     	phRAIDER       	14             	42             	40             	0.952          	2              	0.144          	0.822          	41             	46419968       	169205760      	0.972          	0.474
hg38.chr22     	phRAIDER       	2              	42             	40             	0.952          	2              	0.143          	0.839          	40             	48787456       	171364352      	0.97           	0.472
hg38.chr22     	phRAIDER       	6              	42             	40             	0.952          	2              	0.143          	0.839          	43             	2654175232     	2776592384     	0.97           	0.472
hg38.chr22     	phRAIDER       	16             	42             	40             	0.952          	2              	0.145          	0.83           	40             	2272440320     	2394722304     	0.972          	0.476
hg38.chr22     	phRAIDER       	20             	42             	40             	0.952          	2              	0.144          	0.834          	46             	2948714496     	3071057920     	0.972          	0.476
hg38.chr22     	phRAIDER       	21             	42             	40             	0.952          	2              	0.143          	0.802          	41             	1074708480     	1197096960     	0.971          	0.475
hg38.chr22     	phRAIDER       	8              	42             	40             	0.952          	2              	0.143          	0.839          	39             	6221824        	261693440      	0.97           	0.472
hg38.chr22     	phRAIDER       	12             	42             	40             	0.952          	2              	0.144          	0.832          	40             	901423104      	1025347584     	0.972          	0.473
hg38.chr22     	phRAIDER       	4              	42             	40             	0.952          	2              	0.143          	0.839          	41             	2654179328     	2776592384     	0.97           	0.472
hg38.chr22     	phRAIDER       	41             	42             	40             	0.952          	2              	0.144          	0.819          	39             	2727403520     	2851385344     	0.971          	0.474
hg38.chr22     	phRAIDER       	18             	42             	40             	0.952          	2              	0.145          	0.837          	41             	763834368      	886181888      	0.972          	0.476
hg38.chr22     	phRAIDER       	38             	43             	40             	0.93           	2              	NA             	NA             	34             	2769027072     	2891390976     	NA             	NA
hg38.chr22     	phRAIDER       	23             	43             	40             	0.93           	2              	0.147          	0.827          	39             	352587776      	474906624      	0.973          	0.48
hg38.chr22     	phRAIDER       	22             	44             	40             	0.909          	2              	0.143          	0.798          	41             	2655789056     	2778071040     	0.971          	0.478
hg38.chr22     	phRAIDER       	37             	45             	40             	0.889          	2              	0.146          	0.806          	44             	127365120      	249724928      	0.971          	0.483
hg38.chr22     	phRAIDER       	40             	45             	40             	0.889          	2              	0.147          	0.819          	42             	2658693120     	2781237248     	0.973          	0.484
hg38.chr22     	phRAIDER       	24             	46             	40             	0.87           	2              	0.145          	0.748          	42             	2658336768     	2782466048     	0.974          	0.486
hg38.chr22     	phRAIDER       	39             	46             	40             	0.87           	2              	0.147          	0.818          	43             	132612096      	255160320      	0.973          	0.485
hg38.chr22     	phRAIDER       	33             	48             	40             	0.833          	2              	0.148          	0.764          	42             	2658926592     	2783084544     	0.974          	0.488
hg38.chr22     	phRAIDER       	25             	49             	40             	0.816          	2              	0.148          	0.806          	40             	120598528      	243920896      	0.976          	0.489
hg38.chr22     	phRAIDER       	35             	49             	40             	0.816          	2              	0.148          	0.782          	43             	1376980992     	1499418624     	0.976          	0.491
hg38.chr22     	phRAIDER       	27             	49             	40             	0.816          	2              	0.145          	0.81           	44             	2656026624     	2779869184     	0.968          	0.486
hg38.chr22     	phRAIDER       	36             	50             	40             	0.8            	2              	0.148          	0.826          	45             	2661781504     	2784243712     	0.975          	0.495
hg38.chr22     	phRAIDER       	32             	51             	40             	0.784          	2              	0.148          	0.835          	43             	2659864576     	2784034816     	0.975          	0.494
hg38.chr22     	phRAIDER       	34             	52             	40             	0.769          	2              	0.148          	0.827          	42             	228851712      	351244288      	0.977          	0.495
hg38.chr22     	phRAIDER       	26             	52             	40             	0.769          	2              	0.146          	0.828          	41             	313348096      	437194752      	0.977          	0.496
hg38.chr22     	phRAIDER       	28             	59             	40             	0.678          	2              	0.151          	0.784          	47             	2665238528     	2787770368     	0.98           	0.502
hg38.chr22     	phRAIDER       	30             	60             	40             	0.667          	2              	0.15           	0.77           	43             	2665148416     	2787717120     	0.98           	0.503
hg38.chr22     	phRAIDER       	31             	61             	40             	0.656          	2              	0.149          	0.803          	59             	2769285120     	2891816960     	0.98           	0.504
hg38.chr22     	phRAIDER       	45             	64             	40             	0.625          	2              	0.15           	0.817          	46             	2665725952     	2788184064     	0.98           	0.505
hg38.chr22     	phRAIDER       	29             	66             	40             	0.606          	2              	0.15           	0.789          	48             	2665930752     	2788442112     	0.979          	0.51
hg38.chr22     	phRAIDER       	43             	66             	40             	0.606          	2              	0.15           	0.809          	47             	2664427520     	2787004416     	0.974          	0.508
hg38.chr22     	phRAIDER       	46             	67             	40             	0.597          	2              	0.152          	0.788          	3604           	2957619200     	3080155136     	0.979          	0.511
hg38.chr22     	phRAIDER       	44             	78             	40             	0.513          	2              	0.153          	0.795          	52             	2791866368     	2914209792     	0.98           	0.516
hg38.chr22     	phRAIDER       	42             	79             	40             	0.506          	2              	0.15           	0.826          	49             	2959519744     	3081863168     	0.985          	0.512
hg38.chr22     	phRAIDER       	47             	83             	40             	0.482          	2              	0.152          	0.78           	50             	2959372288     	3081707520     	0.975          	0.519
hg38.chr22     	phRAIDER       	48             	87             	40             	0.46           	2              	0.151          	0.824          	50             	2945622016     	3069526016     	0.972          	0.519
hg38.chr22     	phRAIDER       	49             	94             	40             	0.426          	2              	0.15           	0.836          	50             	2960539648     	3082903552     	0.979          	0.518
