org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     
ce10.chrV      	phRAIDER       	22             	42             	42             	1.0            	2              	0.688          	0.783          	9              	616235008      	740204544      	0.96           	0.743
ce10.chrV      	phRAIDER       	23             	43             	43             	1.0            	2              	0.689          	0.783          	8              	617926656      	740188160      	0.958          	0.745
ce10.chrV      	phRAIDER       	24             	44             	44             	1.0            	2              	0.688          	0.779          	9              	688664576      	810950656      	0.956          	0.746
ce10.chrV      	phRAIDER       	25             	45             	45             	1.0            	2              	0.688          	0.778          	9              	0              	0              	0.955          	0.748
ce10.chrV      	phRAIDER       	26             	46             	46             	1.0            	2              	0.689          	0.782          	9              	686956544      	811053056      	0.953          	0.749
ce10.chrV      	phRAIDER       	27             	47             	47             	1.0            	2              	0.689          	0.781          	9              	688660480      	811053056      	0.951          	0.75
ce10.chrV      	phRAIDER       	28             	48             	48             	1.0            	2              	0.688          	0.781          	9              	688648192      	811003904      	0.949          	0.751
ce10.chrV      	phRAIDER       	29             	49             	49             	1.0            	2              	0.686          	0.781          	9              	617918464      	740286464      	0.947          	0.753
ce10.chrV      	phRAIDER       	30             	50             	50             	1.0            	2              	0.685          	0.78           	9              	688648192      	811044864      	0.945          	0.754
ce10.chrV      	phRAIDER       	31             	51             	51             	1.0            	2              	0.684          	0.778          	9              	617906176      	740282368      	0.942          	0.755
ce10.chrV      	phRAIDER       	32             	52             	52             	1.0            	2              	0.684          	0.777          	9              	688644096      	811044864      	0.94           	0.756
ce10.chrV      	phRAIDER       	33             	53             	53             	1.0            	2              	0.683          	0.777          	10             	686956544      	811044864      	0.938          	0.758
ce10.chrV      	phRAIDER       	34             	54             	54             	1.0            	2              	0.684          	0.778          	10             	675565568      	797859840      	0.935          	0.759
ce10.chrV      	phRAIDER       	35             	55             	55             	1.0            	2              	0.684          	0.775          	10             	675569664      	797855744      	0.933          	0.76
ce10.chrV      	phRAIDER       	36             	56             	56             	1.0            	2              	0.683          	0.774          	10             	675565568      	797884416      	0.93           	0.761
ce10.chrV      	phRAIDER       	37             	57             	57             	1.0            	2              	0.682          	0.775          	10             	675565568      	797884416      	0.928          	0.762
ce10.chrV      	phRAIDER       	38             	58             	58             	1.0            	2              	0.684          	0.768          	10             	675565568      	797941760      	0.925          	0.763
ce10.chrV      	phRAIDER       	39             	59             	59             	1.0            	2              	0.683          	0.767          	11             	673861632      	797855744      	0.923          	0.764
ce10.chrV      	phRAIDER       	40             	60             	60             	1.0            	2              	0.683          	0.765          	10             	617897984      	740233216      	0.92           	0.764
ce10.chrV      	phRAIDER       	41             	61             	61             	1.0            	2              	0.682          	0.765          	10             	673861632      	797876224      	0.917          	0.765
ce10.chrV      	phRAIDER       	42             	62             	62             	1.0            	2              	0.682          	0.765          	11             	688631808      	811028480      	0.914          	0.765
ce10.chrV      	phRAIDER       	43             	63             	63             	1.0            	2              	0.681          	0.766          	11             	688640000      	811028480      	0.911          	0.766
ce10.chrV      	phRAIDER       	44             	64             	64             	1.0            	2              	0.68           	0.765          	11             	688627712      	811028480      	0.908          	0.767
ce10.chrV      	phRAIDER       	45             	65             	65             	1.0            	2              	0.68           	0.762          	11             	617889792      	740155392      	0.905          	0.767
ce10.chrV      	phRAIDER       	46             	66             	66             	1.0            	2              	0.679          	0.763          	11             	658862080      	781193216      	0.903          	0.768
ce10.chrV      	phRAIDER       	47             	67             	67             	1.0            	2              	0.678          	0.763          	11             	663416832      	785715200      	0.9            	0.769
ce10.chrV      	phRAIDER       	48             	68             	68             	1.0            	2              	0.676          	0.761          	11             	686931968      	811016192      	0.898          	0.769
ce10.chrV      	phRAIDER       	49             	69             	69             	1.0            	2              	0.674          	0.759          	11             	617869312      	740253696      	0.895          	0.77
ce10.chrV      	phRAIDER       	50             	70             	70             	1.0            	2              	0.673          	0.76           	12             	688611328      	811016192      	0.893          	0.77
ce10.chrV      	phRAIDER       	51             	71             	71             	1.0            	2              	0.673          	0.76           	11             	688603136      	810921984      	0.89           	0.771
ce10.chrV      	phRAIDER       	52             	72             	72             	1.0            	2              	0.672          	0.759          	11             	688611328      	811012096      	0.887          	0.771
ce10.chrV      	phRAIDER       	53             	73             	73             	1.0            	2              	0.673          	0.757          	12             	685187072      	809254912      	0.885          	0.772
ce10.chrV      	phRAIDER       	54             	74             	74             	1.0            	2              	0.67           	0.756          	12             	677457920      	799838208      	0.882          	0.773
ce10.chrV      	phRAIDER       	55             	75             	75             	1.0            	2              	0.669          	0.757          	13             	675545088      	797921280      	0.879          	0.773
ce10.chrV      	phRAIDER       	56             	76             	76             	1.0            	2              	0.668          	0.756          	12             	675532800      	797954048      	0.877          	0.774
ce10.chrV      	phRAIDER       	57             	77             	77             	1.0            	2              	0.667          	0.757          	12             	688603136      	810954752      	0.874          	0.774
ce10.chrV      	phRAIDER       	58             	78             	78             	1.0            	2              	0.664          	0.759          	12             	688603136      	811008000      	0.871          	0.775
ce10.chrV      	phRAIDER       	59             	79             	79             	1.0            	2              	0.662          	0.762          	12             	688590848      	810901504      	0.868          	0.776
ce10.chrV      	phRAIDER       	60             	80             	80             	1.0            	2              	0.662          	0.762          	12             	675577856      	797863936      	0.866          	0.776
ce10.chrV      	phRAIDER       	61             	81             	81             	1.0            	2              	0.661          	0.762          	12             	688644096      	811008000      	0.863          	0.777
ce10.chrV      	phRAIDER       	62             	82             	82             	1.0            	2              	0.661          	0.763          	13             	688644096      	810930176      	0.861          	0.778
ce10.chrV      	phRAIDER       	63             	83             	83             	1.0            	2              	0.661          	0.764          	12             	675569664      	797880320      	0.859          	0.778
ce10.chrV      	phRAIDER       	64             	84             	84             	1.0            	2              	0.66           	0.764          	13             	654782464      	777093120      	0.856          	0.779
ce10.chrV      	phRAIDER       	65             	85             	85             	1.0            	2              	0.66           	0.764          	13             	617861120      	740270080      	0.853          	0.779
ce10.chrV      	phRAIDER       	66             	86             	86             	1.0            	2              	0.659          	0.766          	13             	675557376      	797892608      	0.851          	0.779
ce10.chrV      	phRAIDER       	67             	87             	87             	1.0            	2              	0.657          	0.766          	13             	686936064      	811032576      	0.848          	0.78
ce10.chrV      	phRAIDER       	68             	88             	88             	1.0            	2              	0.656          	0.767          	13             	586821632      	709152768      	0.846          	0.781
ce10.chrV      	phRAIDER       	69             	89             	89             	1.0            	2              	0.656          	0.767          	13             	617881600      	740265984      	0.844          	0.781
ce10.chrV      	phRAIDER       	70             	90             	90             	1.0            	2              	0.655          	0.767          	13             	688619520      	810921984      	0.841          	0.782
ce10.chrV      	phRAIDER       	71             	91             	91             	1.0            	2              	0.655          	0.766          	13             	686915584      	810917888      	0.838          	0.782
ce10.chrV      	phRAIDER       	72             	92             	92             	1.0            	2              	0.655          	0.764          	13             	675532800      	797917184      	0.835          	0.782
ce10.chrV      	phRAIDER       	73             	93             	93             	1.0            	2              	0.655          	0.768          	13             	687620096      	809955328      	0.833          	0.783
ce10.chrV      	phRAIDER       	74             	94             	94             	1.0            	2              	0.654          	0.768          	14             	688594944      	810901504      	0.83           	0.783
ce10.chrV      	phRAIDER       	75             	95             	95             	1.0            	2              	0.654          	0.769          	13             	688607232      	810913792      	0.827          	0.783
ce10.chrV      	phRAIDER       	76             	96             	96             	1.0            	2              	0.653          	0.769          	14             	617869312      	740151296      	0.824          	0.784
ce10.chrV      	phRAIDER       	77             	97             	97             	1.0            	2              	0.653          	0.77           	14             	675545088      	797913088      	0.821          	0.784
ce10.chrV      	phRAIDER       	78             	98             	98             	1.0            	2              	0.652          	0.769          	14             	686915584      	811003904      	0.819          	0.784
ce10.chrV      	phRAIDER       	79             	99             	99             	1.0            	2              	0.651          	0.768          	14             	616161280      	740241408      	0.816          	0.784
ce10.chrV      	phRAIDER       	80             	100            	100            	1.0            	2              	0.65           	0.769          	14             	688590848      	810897408      	0.814          	0.785
hg38.chr22     	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.165          	0.967          	28838          	312578048      	468901888      	0.989          	0.472
hg38.chr22     	phRAIDER       	0              	20             	20             	1.0            	2              	0.11           	0.93           	32             	2618863616     	2741207040     	0.961          	0.317
hg38.chr22     	phRAIDER       	1              	21             	21             	1.0            	2              	0.116          	0.916          	32             	2623164416     	2745569280     	0.96           	0.355
hg38.chr22     	phRAIDER       	2              	22             	22             	1.0            	2              	0.12           	0.904          	32             	2385747968     	2509856768     	0.96           	0.384
hg38.chr22     	phRAIDER       	3              	23             	23             	1.0            	2              	0.129          	0.879          	32             	2339975168     	2462457856     	0.959          	0.399
hg38.chr22     	phRAIDER       	4              	24             	24             	1.0            	2              	0.131          	0.859          	31             	2246389760     	2368921600     	0.961          	0.407
hg38.chr22     	phRAIDER       	5              	25             	25             	1.0            	2              	0.132          	0.849          	33             	0              	0              	0.962          	0.415
hg38.chr22     	phRAIDER       	6              	26             	26             	1.0            	2              	0.133          	0.865          	35             	2639011840     	2763161600     	0.963          	0.423
hg38.chr22     	phRAIDER       	7              	27             	27             	1.0            	2              	0.134          	0.858          	32             	2643542016     	2766139392     	0.965          	0.429
hg38.chr22     	phRAIDER       	8              	28             	28             	1.0            	2              	0.134          	0.853          	36             	2645872640     	2768220160     	0.966          	0.437
hg38.chr22     	phRAIDER       	9              	29             	29             	1.0            	2              	0.134          	0.843          	35             	0              	0              	0.967          	0.439
hg38.chr22     	phRAIDER       	10             	30             	30             	1.0            	2              	0.135          	0.837          	35             	2648760320     	2772672512     	0.968          	0.443
hg38.chr22     	phRAIDER       	11             	31             	31             	1.0            	2              	0.135          	0.829          	35             	2652352512     	2774720512     	0.969          	0.446
hg38.chr22     	phRAIDER       	12             	32             	32             	1.0            	2              	0.135          	0.818          	35             	2654179328     	2776506368     	0.97           	0.449
hg38.chr22     	phRAIDER       	13             	33             	33             	1.0            	2              	0.141          	0.866          	36             	2654171136     	2776526848     	0.971          	0.453
hg38.chr22     	phRAIDER       	14             	34             	34             	1.0            	2              	0.141          	0.869          	37             	2652561408     	2776530944     	0.971          	0.456
hg38.chr22     	phRAIDER       	15             	35             	35             	1.0            	2              	0.141          	0.868          	37             	2654162944     	2776526848     	0.971          	0.458
hg38.chr22     	phRAIDER       	16             	36             	36             	1.0            	2              	0.141          	0.867          	37             	2654162944     	2776522752     	0.971          	0.46
hg38.chr22     	phRAIDER       	17             	37             	37             	1.0            	2              	0.142          	0.861          	38             	2654158848     	2776494080     	0.972          	0.463
hg38.chr22     	phRAIDER       	18             	38             	38             	1.0            	2              	0.142          	0.851          	38             	2654183424     	2776514560     	0.972          	0.465
hg38.chr22     	phRAIDER       	19             	39             	39             	1.0            	2              	0.142          	0.844          	39             	2945949696     	3068272640     	0.971          	0.467
hg38.chr22     	phRAIDER       	20             	40             	40             	1.0            	2              	0.142          	0.843          	39             	2654171136     	2776551424     	0.971          	0.469
hg38.chr22     	phRAIDER       	21             	41             	41             	1.0            	2              	0.143          	0.842          	39             	2654183424     	2776559616     	0.971          	0.47
hg38.chr22     	phRAIDER       	22             	42             	42             	1.0            	2              	0.143          	0.839          	39             	393211904      	515538944      	0.97           	0.472
hg38.chr22     	phRAIDER       	23             	43             	43             	1.0            	2              	0.143          	0.842          	40             	2944344064     	3068383232     	0.969          	0.474
hg38.chr22     	phRAIDER       	24             	44             	44             	1.0            	2              	0.143          	0.842          	40             	2945953792     	3068387328     	0.968          	0.476
hg38.chr22     	phRAIDER       	25             	45             	45             	1.0            	2              	0.143          	0.843          	38             	1375158272     	1497432064     	0.967          	0.477
hg38.chr22     	phRAIDER       	26             	46             	46             	1.0            	2              	0.143          	0.845          	41             	2944348160     	3068325888     	0.966          	0.479
hg38.chr22     	phRAIDER       	27             	47             	47             	1.0            	2              	0.143          	0.84           	42             	2654175232     	2776535040     	0.965          	0.481
hg38.chr22     	phRAIDER       	28             	48             	48             	1.0            	2              	0.143          	0.841          	43             	2945921024     	3068321792     	0.964          	0.482
hg38.chr22     	phRAIDER       	29             	49             	49             	1.0            	2              	0.144          	0.843          	43             	2900496384     	3022905344     	0.963          	0.484
hg38.chr22     	phRAIDER       	30             	50             	50             	1.0            	2              	0.144          	0.844          	43             	2945916928     	3068338176     	0.961          	0.485
hg38.chr22     	phRAIDER       	31             	51             	51             	1.0            	2              	0.144          	0.845          	44             	2944315392     	3068309504     	0.96           	0.486
hg38.chr22     	phRAIDER       	32             	52             	52             	1.0            	2              	0.144          	0.845          	46             	2945912832     	3068350464     	0.958          	0.487
hg38.chr22     	phRAIDER       	33             	53             	53             	1.0            	2              	0.144          	0.846          	45             	2945912832     	3068260352     	0.957          	0.488
hg38.chr22     	phRAIDER       	34             	54             	54             	1.0            	2              	0.144          	0.84           	45             	2888081408     	3010408448     	0.955          	0.489
hg38.chr22     	phRAIDER       	35             	55             	55             	1.0            	2              	0.144          	0.84           	44             	2787860480     	2911875072     	0.953          	0.49
hg38.chr22     	phRAIDER       	36             	56             	56             	1.0            	2              	0.144          	0.839          	47             	2945908736     	3068268544     	0.951          	0.491
hg38.chr22     	phRAIDER       	37             	57             	57             	1.0            	2              	0.144          	0.837          	47             	2945908736     	3068342272     	0.949          	0.492
hg38.chr22     	phRAIDER       	38             	58             	58             	1.0            	2              	0.144          	0.839          	47             	2945904640     	3068243968     	0.947          	0.493
hg38.chr22     	phRAIDER       	39             	59             	59             	1.0            	2              	0.144          	0.841          	47             	2877493248     	3001479168     	0.945          	0.493
hg38.chr22     	phRAIDER       	40             	60             	60             	1.0            	2              	0.144          	0.842          	49             	2654150656     	2776555520     	0.943          	0.494
hg38.chr22     	phRAIDER       	41             	61             	61             	1.0            	2              	0.144          	0.84           	49             	2654150656     	2776559616     	0.941          	0.495
hg38.chr22     	phRAIDER       	42             	62             	62             	1.0            	2              	0.144          	0.836          	48             	2945925120     	3068350464     	0.939          	0.496
hg38.chr22     	phRAIDER       	43             	63             	63             	1.0            	2              	0.144          	0.834          	48             	2944315392     	3068354560     	0.936          	0.497
hg38.chr22     	phRAIDER       	44             	64             	64             	1.0            	2              	0.144          	0.832          	49             	2945916928     	3068231680     	0.934          	0.497
hg38.chr22     	phRAIDER       	45             	65             	65             	1.0            	2              	0.145          	0.828          	49             	2654154752     	2776576000     	0.932          	0.498
hg38.chr22     	phRAIDER       	46             	66             	66             	1.0            	2              	0.145          	0.826          	49             	2945921024     	3068231680     	0.929          	0.498
hg38.chr22     	phRAIDER       	47             	67             	67             	1.0            	2              	0.145          	0.824          	51             	2944311296     	3068313600     	0.927          	0.499
hg38.chr22     	phRAIDER       	48             	68             	68             	1.0            	2              	0.145          	0.821          	52             	2945912832     	3068317696     	0.924          	0.499
hg38.chr22     	phRAIDER       	49             	69             	69             	1.0            	2              	0.145          	0.817          	52             	2654150656     	2776526848     	0.922          	0.5
hg38.chr22     	phRAIDER       	50             	70             	70             	1.0            	2              	0.145          	0.81           	50             	2341453824     	2463887360     	0.919          	0.501
hg38.chr22     	phRAIDER       	51             	71             	71             	1.0            	2              	0.145          	0.808          	52             	2945896448     	3068313600     	0.916          	0.501
hg38.chr22     	phRAIDER       	52             	72             	72             	1.0            	2              	0.146          	0.806          	54             	2945900544     	3068313600     	0.914          	0.502
hg38.chr22     	phRAIDER       	53             	73             	73             	1.0            	2              	0.146          	0.803          	52             	2764734464     	2888675328     	0.911          	0.503
hg38.chr22     	phRAIDER       	54             	74             	74             	1.0            	2              	0.146          	0.803          	53             	2878976000     	3001401344     	0.908          	0.503
hg38.chr22     	phRAIDER       	55             	75             	75             	1.0            	2              	0.146          	0.802          	55             	2945896448     	3068338176     	0.905          	0.504
hg38.chr22     	phRAIDER       	56             	76             	76             	1.0            	2              	0.146          	0.799          	54             	2931597312     	3054026752     	0.902          	0.504
hg38.chr22     	phRAIDER       	57             	77             	77             	1.0            	2              	0.145          	0.799          	54             	2944286720     	3068219392     	0.9            	0.505
hg38.chr22     	phRAIDER       	58             	78             	78             	1.0            	2              	0.146          	0.794          	52             	2766327808     	2888724480     	0.897          	0.505
hg38.chr22     	phRAIDER       	59             	79             	79             	1.0            	2              	0.146          	0.796          	53             	2862718976     	2986741760     	0.894          	0.505
hg38.chr22     	phRAIDER       	60             	80             	80             	1.0            	2              	0.146          	0.795          	55             	2764849152     	2888855552     	0.891          	0.506
hg38.chr22     	phRAIDER       	61             	81             	81             	1.0            	2              	0.146          	0.794          	56             	2946019328     	3068448768     	0.888          	0.506
hg38.chr22     	phRAIDER       	62             	82             	82             	1.0            	2              	0.146          	0.795          	56             	2946019328     	3068448768     	0.885          	0.507
hg38.chr22     	phRAIDER       	63             	83             	83             	1.0            	2              	0.146          	0.794          	53             	2883637248     	3006046208     	0.882          	0.507
hg38.chr22     	phRAIDER       	64             	84             	84             	1.0            	2              	0.146          	0.794          	57             	2944413696     	3068358656     	0.879          	0.507
hg38.chr22     	phRAIDER       	65             	85             	85             	1.0            	2              	0.145          	0.799          	57             	2654244864     	2776567808     	0.876          	0.508
hg38.chr22     	phRAIDER       	66             	86             	86             	1.0            	2              	0.145          	0.801          	58             	2831679488     	2955628544     	0.873          	0.508
hg38.chr22     	phRAIDER       	67             	87             	87             	1.0            	2              	0.146          	0.806          	58             	2412265472     	2534588416     	0.87           	0.508
hg38.chr22     	phRAIDER       	68             	88             	88             	1.0            	2              	0.146          	0.807          	55             	2774147072     	2896523264     	0.867          	0.509
hg38.chr22     	phRAIDER       	69             	89             	89             	1.0            	2              	0.146          	0.809          	57             	2944409600     	3068321792     	0.864          	0.509
hg38.chr22     	phRAIDER       	70             	90             	90             	1.0            	2              	0.146          	0.808          	3600           	2946011136     	3068321792     	0.861          	0.51
hg38.chr22     	phRAIDER       	71             	91             	91             	1.0            	2              	0.145          	0.81           	3600           	2944356352     	3068280832     	0.858          	0.51
hg38.chr22     	phRAIDER       	72             	92             	92             	1.0            	2              	0.145          	0.813          	3600           	2945957888     	3068284928     	0.855          	0.51
hg38.chr22     	phRAIDER       	73             	93             	93             	1.0            	2              	0.145          	0.814          	3600           	2917728256     	3040169984     	0.852          	0.511
hg38.chr22     	phRAIDER       	74             	94             	94             	1.0            	2              	0.145          	0.813          	3601           	2945957888     	3068280832     	0.849          	0.511
hg38.chr22     	phRAIDER       	75             	95             	95             	1.0            	2              	0.145          	0.81           	3603           	2856632320     	2979069952     	0.846          	0.511
hg38.chr22     	phRAIDER       	76             	96             	96             	1.0            	2              	0.145          	0.804          	3601           	2654167040     	2776489984     	0.843          	0.511
hg38.chr22     	phRAIDER       	77             	97             	97             	1.0            	2              	0.145          	0.802          	3602           	2864058368     	2986504192     	0.839          	0.512
hg38.chr22     	phRAIDER       	78             	98             	98             	1.0            	2              	0.145          	0.805          	3602           	2945957888     	3068280832     	0.836          	0.512
hg38.chr22     	phRAIDER       	79             	99             	99             	1.0            	2              	0.145          	0.807          	3602           	2945953792     	3068293120     	0.833          	0.512
hg38.chr22     	phRAIDER       	80             	100            	100            	1.0            	2              	0.145          	0.809          	3604           	2945961984     	3068293120     	0.83           	0.512
