tool	label	seed	f	size	time	mem
RepeatScout	cf3.chrX	0	2	125933634	2215.91	2005872.0
RepeatScout	hg38.chr1	0	2	253105702	4746.61	4618288.0
RepeatScout	hg38.chr10	0	2	136027387	2732.49	2142076.0
RepeatScout	hg38.chr11	0	2	137338073	2729.59	2181264.0
RepeatScout	hg38.chr12	0	2	135496572	2801.31	2167420.0
RepeatScout	hg38.chr13	0	2	116270408	1940.21	1496936.0
RepeatScout	hg38.chr14	0	2	108827787	1737.1	1355896.0
RepeatScout	hg38.chr15	0	2	103691050	1473.59	1334340.0
RepeatScout	hg38.chr16	0	2	91843992	1765.72	1279100.0
RepeatScout	hg38.chr17	0	2	84645073	1886.03	1302912.0
RepeatScout	hg38.chr18	0	2	81712847	2045.47	1143404.0
RepeatScout	hg38.chr19	0	2	59594584	1742.29	1285044.0
RepeatScout	hg38.chr2	0	2	246230094	5196.87	4813508.0
RepeatScout	hg38.chr20	0	2	65518244	2162.13	1318928.0
RepeatScout	hg38.chr21	0	2	47488490	1296.92	807900.0
RepeatScout	hg38.chr22	0	2	51665450	1302.8	815244.0
RepeatScout	hg38.chr3	0	2	201600491	3947.33	3700872.0
RepeatScout	hg38.chr4	0	2	193384804	4212.99	3619456.0
RepeatScout	hg38.chr5	0	2	184563903	4257.07	3335412.0
RepeatScout	hg38.chr6	0	2	173652752	3431.16	3015628.0
RepeatScout	hg38.chr7	0	2	162001746	3189.96	2828564.0
RepeatScout	hg38.chr8	0	2	147557620	2536.05	2395932.0
RepeatScout	hg38.chr9	0	2	140701302	2764.06	2137144.0
RepeatScout	hg38.chrX	0	2	158641583	2895.16	2877408.0
RepeatScout	hg38.chrY	0	2	58181212	636.01	716836.0
RepeatScout	mm10.chr1	0	2	198729844	4229.63	3353088.0
RepeatScout	mm10.chr10	0	2	132873250	2519.22	1877056.0
RepeatScout	mm10.chr11	0	2	124117260	2459.62	1605328.0
RepeatScout	mm10.chr12	0	2	122131180	2224.96	1768320.0
RepeatScout	mm10.chr13	0	2	122428674	2270.06	1749908.0
RepeatScout	mm10.chr14	0	2	126983956	2315.44	1918872.0
RepeatScout	mm10.chr15	0	2	105777754	2007.62	1348888.0
RepeatScout	mm10.chr16	0	2	99844572	1870.51	1273972.0
RepeatScout	mm10.chr17	0	2	96570400	1677.58	1305120.0
RepeatScout	mm10.chr18	0	2	92214357	1755.03	1124976.0
RepeatScout	mm10.chr19	0	2	62455433	1501.64	1102940.0
RepeatScout	mm10.chr2	0	2	185148451	3887.1	2929772.0
RepeatScout	mm10.chr3	0	2	162707014	3239.77	2604580.0
RepeatScout	mm10.chr4	0	2	159116591	3012.58	2464332.0
RepeatScout	mm10.chr5	0	2	154365269	2483.21	2322488.0
RepeatScout	mm10.chr6	0	2	152232162	3043.74	2325944.0
RepeatScout	mm10.chr7	0	2	147865490	2540.11	2395340.0
RepeatScout	mm10.chr8	0	2	131557906	2522.71	1798304.0
RepeatScout	mm10.chr9	0	2	126671702	2469.99	1699456.0
RepeatScout	mm10.chrM	0	2	16577	0.73	128448.0
RepeatScout	mm10.chrX	0	2	173881827	3085.66	3323932.0
RepeatScout	mm10.chrY	0	2	93273783	2102.06	2930840.0
LMER	ce10.chrI	0	2	15323637	10.96	427244.0
LMER	ce10.chrII	0	2	15534008	11.04	442424.0
LMER	ce10.chrIII	0	2	14013437	9.5	405076.0
LMER	ce10.chrIV	0	2	17785364	14.25	546952.0
LMER	ce10.chrM	0	2	14030	0.13	125984.0
LMER	ce10.chrV	0	2	21272891	17.34	632984.0
LMER	ce10.chrX	0	2	18014187	14.96	584064.0
LMER	cf3.chr1	0	2	124723438	172.69	3068948.0
LMER	cf3.chr10	0	2	70486979	89.44	1934452.0
LMER	cf3.chr11	0	2	75628923	93.32	2002244.0
LMER	cf3.chr12	0	2	73706390	95.02	1951960.0
LMER	cf3.chr13	0	2	64295963	66.8	1465764.0
LMER	cf3.chr14	0	2	61982798	70.8	1401456.0
LMER	cf3.chr15	0	2	65260823	67.39	1469356.0
LMER	cf3.chr16	0	2	60626734	62.75	1402312.0
LMER	cf3.chr17	0	2	65360551	68.94	1497196.0
LMER	cf3.chr18	0	2	56775600	62.91	1360352.0
LMER	cf3.chr19	0	2	54637315	53.6	1277808.0
LMER	cf3.chr2	0	2	86850493	96.01	2267492.0
LMER	cf3.chr20	0	2	59102964	66.46	1411948.0
LMER	cf3.chr21	0	2	51706274	52.79	1241600.0
LMER	cf3.chr22	0	2	62463940	63.76	1398024.0
LMER	cf3.chr23	0	2	53166062	51.92	1278736.0
LMER	cf3.chr24	0	2	48493766	48.25	1234736.0
LMER	cf3.chr25	0	2	52489423	47.3	1279940.0
LMER	cf3.chr26	0	2	39614109	33.9	1038940.0
LMER	cf3.chr27	0	2	46641329	41.05	1146388.0
LMER	cf3.chr28	0	2	41868488	37.22	1111240.0
LMER	cf3.chr29	0	2	42542666	35.93	1070820.0
LMER	cf3.chr3	0	2	93420534	120.08	2417436.0
LMER	cf3.chr30	0	2	40884505	33.05	1062996.0
LMER	cf3.chr31	0	2	40560861	37.99	1041560.0
LMER	cf3.chr32	0	2	39457127	32.13	986356.0
LMER	cf3.chr33	0	2	31900026	27.58	885584.0
LMER	cf3.chr34	0	2	42826512	39.07	1113996.0
LMER	cf3.chr35	0	2	26967090	21.99	796640.0
LMER	cf3.chr36	0	2	31324519	27.84	878120.0
LMER	cf3.chr37	0	2	31418048	25.97	890352.0
LMER	cf3.chr38	0	2	24313120	20.49	737748.0
LMER	cf3.chr4	0	2	89747915	118.95	2350420.0
LMER	cf3.chr5	0	2	90397177	116.62	2413464.0
LMER	cf3.chr6	0	2	78866704	97.56	2118816.0
LMER	cf3.chr7	0	2	82324114	101.39	2176940.0
LMER	cf3.chr8	0	2	75569263	91.76	2003956.0
LMER	cf3.chr9	0	2	62091990	53.94	1444048.0
LMER	cf3.chrM	0	2	17012	0.14	126168.0
LMER	cf3.chrX	0	2	125933634	155.79	2774860.0
LMER	hg38.chr1	0	2	253105702	378.97	4636884.0
LMER	hg38.chr10	0	2	136027387	199.62	3075008.0
LMER	hg38.chr11	0	2	137338073	187.92	3081436.0
LMER	hg38.chr12	0	2	135496572	182.1	3022588.0
LMER	hg38.chr13	0	2	116270408	138.27	2419264.0
LMER	hg38.chr14	0	2	108827787	99.93	2247148.0
LMER	hg38.chr15	0	2	103691050	103.92	2079496.0
LMER	hg38.chr16	0	2	91843992	93.46	1977916.0
LMER	hg38.chr17	0	2	84645073	82.37	1943520.0
LMER	hg38.chr18	0	2	81712847	97.32	1994480.0
LMER	hg38.chr19	0	2	59594584	44.84	1162752.0
LMER	hg38.chr2	0	2	246230094	415.39	4851784.0
LMER	hg38.chr20	0	2	65518244	54.87	1404556.0
LMER	hg38.chr21	0	2	47488490	32.66	981264.0
LMER	hg38.chr22	0	2	51665450	31.14	942472.0
LMER	hg38.chr3	0	2	201600491	320.64	4159124.0
LMER	hg38.chr4	0	2	193384804	312.97	3953708.0
LMER	hg38.chr5	0	2	184563903	273.19	3849512.0
LMER	hg38.chr6	0	2	173652752	249.48	3712160.0
LMER	hg38.chr7	0	2	162001746	217.68	3437632.0
LMER	hg38.chr8	0	2	147557620	172.07	3289660.0
LMER	hg38.chr9	0	2	140701302	132.43	2777408.0
LMER	hg38.chrX	0	2	158641583	177.55	3220744.0
LMER	hg38.chrY	0	2	58181212	24.73	664908.0
LMER	mm10.chr1	0	2	198729844	308.24	4152224.0
LMER	mm10.chr10	0	2	132873250	181.09	3029768.0
LMER	mm10.chr11	0	2	124117260	142.26	2963308.0
LMER	mm10.chr12	0	2	122131180	130.44	2765728.0
LMER	mm10.chr13	0	2	122428674	134.13	2808548.0
LMER	mm10.chr14	0	2	126983956	169.02	2795416.0
LMER	mm10.chr15	0	2	105777754	116.94	2537944.0
LMER	mm10.chr16	0	2	99844572	127.12	2404564.0
LMER	mm10.chr17	0	2	96570400	104.27	2303168.0
LMER	mm10.chr18	0	2	92214357	122.57	2256832.0
LMER	mm10.chr19	0	2	62455433	51.69	1391684.0
LMER	mm10.chr2	0	2	185148451	291.11	4006388.0
LMER	mm10.chr3	0	2	162707014	294.02	3492748.0
LMER	mm10.chr4	0	2	159116591	228.21	3439088.0
LMER	mm10.chr5	0	2	154365269	226.98	3401668.0
LMER	mm10.chr6	0	2	152232162	228.63	3372632.0
LMER	mm10.chr7	0	2	147865490	173.41	3148156.0
LMER	mm10.chr8	0	2	131557906	165.91	3035052.0
LMER	mm10.chr9	0	2	126671702	199.94	2972232.0
LMER	mm10.chrM	0	2	16577	0.13	126172.0
LMER	mm10.chrX	0	2	173881827	212.22	3055200.0
LMER	mm10.chrY	0	2	93273783	38.88	416188.0
phRAIDER	ce10.chrI	0	2	15323637	34.44	1991940.0
phRAIDER	ce10.chrI	1	2	15323637	21.54	1983992.0
phRAIDER	ce10.chrII	0	2	15534008	34.72	2019196.0
phRAIDER	ce10.chrII	1	2	15534008	25.88	2011972.0
phRAIDER	ce10.chrIII	0	2	14013437	22.33	1828320.0
phRAIDER	ce10.chrIII	1	2	14013437	25.18	1822720.0
phRAIDER	ce10.chrIV	0	2	17785364	33.61	2276396.0
phRAIDER	ce10.chrIV	1	2	17785364	31.18	2268776.0
phRAIDER	ce10.chrM	0	2	14030	0.02	3284.0
phRAIDER	ce10.chrM	1	2	14030	0.02	3284.0
phRAIDER	ce10.chrV	0	2	21272891	42.98	2835004.0
phRAIDER	ce10.chrV	1	2	21272891	38.32	2826384.0
phRAIDER	ce10.chrX	0	2	18014187	34.06	2337128.0
phRAIDER	ce10.chrX	1	2	18014187	30.05	2334540.0
phRAIDER	cf3.chr1	0	2	124723438	280.18	16112072.0
phRAIDER	cf3.chr1	1	2	124723438	224.75	16007596.0
phRAIDER	cf3.chr10	0	2	70486979	141.51	9085112.0
phRAIDER	cf3.chr10	1	2	70486979	124.48	9031840.0
phRAIDER	cf3.chr11	0	2	75628923	151.94	9634400.0
phRAIDER	cf3.chr11	1	2	75628923	133.33	9568356.0
phRAIDER	cf3.chr12	0	2	73706390	147.91	9468168.0
phRAIDER	cf3.chr12	1	2	73706390	130.72	9405492.0
phRAIDER	cf3.chr13	0	2	64295963	137.54	8343056.0
phRAIDER	cf3.chr13	1	2	64295963	113.29	8295076.0
phRAIDER	cf3.chr14	0	2	61982798	127.61	8045132.0
phRAIDER	cf3.chr14	1	2	61982798	110.13	7997644.0
phRAIDER	cf3.chr15	0	2	65260823	132.97	8428872.0
phRAIDER	cf3.chr15	1	2	65260823	116.04	8376536.0
phRAIDER	cf3.chr16	0	2	60626734	124.11	7828996.0
phRAIDER	cf3.chr16	1	2	60626734	108.79	7781240.0
phRAIDER	cf3.chr17	0	2	65360551	131.87	8455640.0
phRAIDER	cf3.chr17	1	2	65360551	115.47	8403760.0
phRAIDER	cf3.chr18	0	2	56775600	114.43	7404660.0
phRAIDER	cf3.chr18	1	2	56775600	119.01	7358752.0
phRAIDER	cf3.chr19	0	2	54637315	112.74	7174228.0
phRAIDER	cf3.chr19	1	2	54637315	98.08	7132656.0
phRAIDER	cf3.chr2	0	2	86850493	190.21	11517940.0
phRAIDER	cf3.chr2	1	2	86850493	175.32	11445972.0
phRAIDER	cf3.chr20	0	2	59102964	123.19	7710380.0
phRAIDER	cf3.chr20	1	2	59102964	111.82	7664988.0
phRAIDER	cf3.chr21	0	2	51706274	105.91	6784096.0
phRAIDER	cf3.chr21	1	2	51706274	102.42	6739696.0
phRAIDER	cf3.chr22	0	2	62463940	126.68	8123240.0
phRAIDER	cf3.chr22	1	2	62463940	110.87	8077936.0
phRAIDER	cf3.chr23	0	2	53166062	108.86	7009692.0
phRAIDER	cf3.chr23	1	2	53166062	103.77	6970692.0
phRAIDER	cf3.chr24	0	2	48493766	99.9	6436680.0
phRAIDER	cf3.chr24	1	2	48493766	89.32	6400612.0
phRAIDER	cf3.chr25	0	2	52489423	111.51	6894164.0
phRAIDER	cf3.chr25	1	2	52489423	94.85	6852456.0
phRAIDER	cf3.chr26	0	2	39614109	84.86	5513720.0
phRAIDER	cf3.chr26	1	2	39614109	76.73	5499464.0
phRAIDER	cf3.chr27	0	2	46641329	97.19	6189856.0
phRAIDER	cf3.chr27	1	2	46641329	85.74	6148136.0
phRAIDER	cf3.chr28	0	2	41868488	87.36	5636784.0
phRAIDER	cf3.chr28	1	2	41868488	77.94	5606332.0
phRAIDER	cf3.chr29	0	2	42542666	89.19	5708624.0
phRAIDER	cf3.chr29	1	2	42542666	78.43	5677892.0
phRAIDER	cf3.chr3	0	2	93420534	234.05	12450112.0
phRAIDER	cf3.chr3	1	2	93420534	174.39	12377104.0
phRAIDER	cf3.chr30	0	2	40884505	86.89	5518400.0
phRAIDER	cf3.chr30	1	2	40884505	75.85	5491764.0
phRAIDER	cf3.chr31	0	2	40560861	89.06	5506176.0
phRAIDER	cf3.chr31	1	2	40560861	82.72	5495844.0
phRAIDER	cf3.chr32	0	2	39457127	83.68	5507868.0
phRAIDER	cf3.chr32	1	2	39457127	74.25	5493268.0
phRAIDER	cf3.chr33	0	2	31900026	66.36	4153124.0
