   SW   perc perc perc  query     position in query              matching   repeat        position in repeat
score   div. del. ins.  sequence  begin    end          (left)   repeat     class/family begin  end    (left)    ID
  301   15.4  2.5  3.8  seq_file     15638    15718 (15056705) C repeat2845 Unspecified    (0)     84      5    50 *
  460    6.8  0.0  0.0  seq_file     15638    15696 (15056727) + repeat6552 Unspecified      1     59    (0)    51 *
  463    6.7  0.0  0.0  seq_file     15675    15734 (15056689) + repeat4042 Unspecified      1     60    (0)    52  
  307    0.0  0.0  0.0  seq_file     15706    15740 (15056683) + repeat2560 Unspecified      1     35    (0)    53 *
  304    0.0  0.0  0.0  seq_file     15712    15748 (15056675) + repeat6687 Unspecified      1     37    (0)    54 *
  233    8.3  0.0  0.0  seq_file     15717    15752 (15056671) C repeat6686 Unspecified    (0)     36      1    55 *
  394    9.1  0.0  0.0  seq_file     15723    15777 (15056646) C repeat6552 Unspecified    (4)     55      1    56  
  228    3.0  3.0  0.0  seq_file     15752    15784 (15056639) + repeat3067 Unspecified      1     34    (0)    57 *
  302    2.4  2.4  0.0  seq_file     15760    15801 (15056622) C repeat4464 Unspecified    (1)     43      1    58 *
  359    4.1  2.0  0.0  seq_file     15768    15816 (15056607) + repeat4044 Unspecified      1     50    (0)    59  
  252   13.3  0.0  2.2  seq_file     15781    15826 (15056597) + repeat4671 Unspecified      1     45    (0)    60 *
  294    2.9  0.0  0.0  seq_file     15789    15823 (15056600) + repeat5726 Unspecified      1     35    (0)    61 *
  324    2.6  0.0  0.0  seq_file     15793    15831 (15056592) C repeat5009 Unspecified    (0)     39      1    62 *
  342    9.8  0.0  0.0  seq_file     15798    15848 (15056575) + repeat4164 Unspecified      1     51    (0)    63 *
  467    1.8  0.0  0.0  seq_file     15811    15865 (15056558) + repeat4472 Unspecified      1     55    (0)    64  
  296    5.3  0.0  0.0  seq_file     15832    15869 (15056554) + repeat5727 Unspecified      1     38    (0)    65 *
  300    0.0  0.0  0.0  seq_file     15837    15869 (15056554) C repeat4590 Unspecified    (0)     33      1    66 *
  372    2.3  0.0  0.0  seq_file     15843    15886 (15056537) + repeat4047 Unspecified      1     44    (0)    67  
  285   28.6  1.0  0.0  seq_file     17322    17419 (15055004) C repeat4762 Unspecified    (1)    102      4    68  
  271    3.1  0.0  0.0  seq_file     30559    30590 (15041833) + repeat2986 Unspecified      1     32    (0)    69 *
  292    0.0  0.0  0.0  seq_file     30577    30608 (15041815) + repeat2    Unspecified      1     32    (0)    70  
  410   17.3  0.0  0.0  seq_file     31005    31079 (15041344) C repeat5514 Unspecified   (42)     75      1    71  
  351   15.9  0.0  4.8  seq_file     31040    31105 (15041318) + repeat5517 Unspecified      2     64    (0)    72 *
  293   10.9  0.0  0.0  seq_file     34220    34265 (15038158) + repeat2225 Unspecified      1     46    (0)    73 *
  416    3.8  1.9  0.0  seq_file     34231    34283 (15038140) + repeat1872 Unspecified      1     54    (0)    74  
  344    9.6  1.9  0.0  seq_file     34266    34317 (15038106) + repeat3412 Unspecified      1     53    (0)    75 *
  296   19.3  0.0  0.0  seq_file     34280    34336 (15038087) + repeat361  Unspecified      3     59    (0)    76 *
  274   13.0  0.0  0.0  seq_file     34297    34342 (15038081) + repeat7056 Unspecified      1     46    (0)    77 *
  305    4.8  0.0  0.0  seq_file     34335    34376 (15038047) + repeat2569 Unspecified      1     42    (0)    78  
  301    7.3  0.0  0.0  seq_file     34351    34391 (15038032) + repeat2764 Unspecified      1     41    (1)    79 *
  294   16.3  0.0  0.0  seq_file     34352    34400 (15038023) + repeat3505 Unspecified      1     49    (0)    80 *
  277    8.1  0.0  0.0  seq_file     35732    35768 (15036655) C repeat3829 Unspecified    (2)     37      1    81 *
  320    2.7  0.0  0.0  seq_file     35742    35778 (15036645) C repeat5662 Unspecified    (0)     37      1    82  
  285    0.0  0.0  0.0  seq_file     35750    35782 (15036641) + repeat4521 Unspecified      1     33    (0)    83 *
  231    6.5  0.0  0.0  seq_file     35816    35846 (15036577) + repeat5626 Unspecified      2     32    (0)    84 *
  348    0.0  0.0  0.0  seq_file     35824    35862 (15036561) + repeat3829 Unspecified      1     39    (0)    85  
  299   10.0  0.0  0.0  seq_file     36980    37019 (15035404) + repeat5619 Unspecified      1     40    (0)    86  
  272    0.0  0.0  0.0  seq_file     37032    37063 (15035360) + repeat5620 Unspecified      1     32    (0)    87  
  391    0.0  0.0  0.0  seq_file     37179    37221 (15035202) + repeat5405 Unspecified      1     43    (0)    88  
  351    4.7  0.0  0.0  seq_file     37650    37692 (15034731) C repeat5405 Unspecified    (0)     43      1    89  
  379   15.9  2.3  7.1  seq_file     42672    42759 (15029664) + repeat5516 Unspecified      2     85    (0)    90 *
  590   16.2  0.0  0.0  seq_file     42701    42799 (15029624) C repeat5514 Unspecified   (18)     99      1    91  
  381   15.7  0.0  4.7  seq_file     42759    42825 (15029598) + repeat5517 Unspecified      1     64    (0)    92 *
  340   12.0  0.0  0.0  seq_file     43253    43302 (15029121) + repeat1872 Unspecified      1     50    (4)    93  
  283    2.6  2.6  0.0  seq_file     43282    43319 (15029104) + repeat715  Unspecified      1     39    (0)    94 *
  354    9.4  0.0  1.9  seq_file     43288    43341 (15029082) + repeat3412 Unspecified      1     53    (0)    95  
  321   16.4  0.0  0.0  seq_file     43305    43359 (15029064) + repeat361  Unspecified      4     58    (1)    96 *
  247   15.2  0.0  0.0  seq_file     43321    43366 (15029057) + repeat7056 Unspecified      1     46    (0)    97 *
  271   16.3  0.0  0.0  seq_file     43376    43424 (15028999) + repeat3505 Unspecified      1     49    (0)    98  
  226   15.7 19.6  0.0  seq_file     46555    46605 (15025818) C repeat6490 Unspecified    (1)    138     78    99 *
  301   13.6  0.0  0.0  seq_file     46555    46598 (15025825) + repeat6513 Unspecified      1     44    (0)   100 *
  524   13.6  1.1  2.2  seq_file     46566    46655 (15025768) + repeat6307 Unspecified      1     89    (1)   101  
  437   25.9  1.5  1.5  seq_file     46594    46730 (15025693) + repeat6490 Unspecified      2    138    (1)   102 *
  608   13.7  0.0  0.0  seq_file     46594    46688 (15025735) + repeat7011 Unspecified      2     96    (0)   103  
  340    0.0  0.0  0.0  seq_file     46901    46938 (15025485) + repeat3850 Unspecified      1     38    (0)   104  
  282    0.0  0.0  0.0  seq_file     46911    46943 (15025480) + repeat6006 Unspecified      1     33    (0)   105 *
  327    0.0  0.0  0.0  seq_file     46917    46955 (15025468) + repeat4009 Unspecified      1     39    (0)   106  
  299    0.0  0.0  0.0  seq_file     46960    46992 (15025431) + repeat3461 Unspecified      1     33    (0)   107  
  292    0.0  0.0  0.0  seq_file     46964    46996 (15025427) + repeat4011 Unspecified      1     33    (0)   108 *
  454    3.6  0.0  0.0  seq_file     46974    47028 (15025395) + repeat4012 Unspecified      1     55    (0)   109  
  366    0.0  0.0  0.0  seq_file     47008    47047 (15025376) + repeat4013 Unspecified      1     40    (0)   110 *
  427    0.0  0.0  0.0  seq_file     47020    47066 (15025357) + repeat4756 Unspecified      1     47    (0)   111  
  324   18.8  2.9  0.0  seq_file     57651    57719 (15014704) + repeat67   Unspecified     14     84    (0)   112  
  278    0.0  0.0  0.0  seq_file     58992    59023 (15013400) + repeat59   Unspecified      1     32    (0)   113  
  330    8.4  2.8 15.9  seq_file     69328    69398 (15003025) + repeat3781 Unspecified      8     70   (29)   114 *
  347   12.3  0.0  0.0  seq_file     69328    69384 (15003039) + repeat5932 Unspecified     23     79    (2)   115  
  261   10.3  0.0 10.2  seq_file     74469    74522 (14997901) + repeat328  Unspecified      3     51    (0)   116  
  257    8.3  0.0  0.0  seq_file     75666    75701 (14996722) C repeat2407 Unspecified    (0)     37      2   117 *
  265    7.9  0.0  0.0  seq_file     75683    75720 (14996703) C repeat2078 Unspecified    (0)     38      1   118  
  260   10.0  0.0  0.0  seq_file     75692    75731 (14996692) C repeat2289 Unspecified    (0)     40      1   119 *
  277    7.9  0.0  0.0  seq_file     75697    75734 (14996689) + repeat3781 Unspecified      1     38   (61)   120  
  284   13.6  0.0  0.0  seq_file     83652    83695 (14988728) C repeat2410 Unspecified    (0)     45      2   121  
  236   14.9  8.5  0.0  seq_file     83664    83710 (14988713) + repeat2169 Unspecified      1     51    (0)   122 *
  401   16.7 16.7  0.0  seq_file     83675    83764 (14988659) + repeat5514 Unspecified      1    105   (12)   123  
  253    7.8  2.2 28.2  seq_file     83782    83870 (14988553) C repeat4918 Unspecified   (29)     71      1   124 *
  624   17.3  0.8  3.4  seq_file     83830    83949 (14988474) C repeat5514 Unspecified    (0)    117      1   125  
  313   15.7  0.0  0.0  seq_file     83910    83960 (14988463) C repeat2169 Unspecified    (0)     51      1   126 *
  306   11.1  0.0  0.0  seq_file     83928    83972 (14988451) + repeat2410 Unspecified      1     45    (0)   127 *
  298    2.8  0.0  0.0  seq_file    101833   101868 (14970555) + repeat3515 Unspecified      1     36    (0)   128  
  282   15.6  0.0  0.0  seq_file    101836   101880 (14970543) C repeat2410 Unspecified    (0)     45      1   129 *
  431   16.4  0.0  0.0  seq_file    101868   101940 (14970483) + repeat5514 Unspecified     26     98   (19)   130  
  471   16.9  6.7  0.0  seq_file    101951   102039 (14970384) C repeat5514 Unspecified   (22)     95      1   131  
  328   14.3  1.5  4.7  seq_file    101999   102064 (14970359) + repeat5517 Unspecified      1     64    (0)   132 *
  375    7.8  0.0  0.0  seq_file    102000   102050 (14970373) C repeat2169 Unspecified    (0)     51      1   133  
  282   17.3  1.3  9.9  seq_file    105202   105278 (14967145) C repeat3781 Unspecified   (28)     71      1   134 *
  289   16.2  2.9  0.0  seq_file    105217   105284 (14967139) C repeat5932 Unspecified    (2)     79     10   135  
  321   17.2  0.0  4.7  seq_file    126845   126911 (14945512) C repeat5517 Unspecified    (0)     64      1   136 *
  523   18.7  0.0  0.0  seq_file    126875   126965 (14945458) + repeat5514 Unspecified      5     95   (22)   137  
  682   13.2  0.8  3.5  seq_file    127021   127138 (14945285) C repeat5514 Unspecified    (2)    115      1   138  
  363   14.1  0.0  4.7  seq_file    127098   127164 (14945259) + repeat5517 Unspecified      1     64    (0)   139 *
  383    7.8  0.0  0.0  seq_file    127099   127149 (14945274) C repeat2169 Unspecified    (0)     51      1   140  
  334   16.7  2.5  2.5  seq_file    131908   131987 (14940436) + repeat5516 Unspecified      6     85    (0)   141 *
  486   15.5  4.7  3.7  seq_file    131921   132027 (14940396) C repeat5514 Unspecified    (9)    108      1   142  
  303   16.3  0.0  0.0  seq_file    131990   132038 (14940385) C repeat2169 Unspecified    (2)     49      1   143 *
  292   15.6  0.0  0.0  seq_file    132006   132050 (14940373) + repeat2410 Unspecified      1     45    (0)   144 *
  514   12.2  0.0  3.7  seq_file    134719   134803 (14937620) + repeat5514 Unspecified     28    109    (8)   145  
  409   16.6  0.0  7.1  seq_file    134863   134953 (14937470) + repeat5516 Unspecified      1     85    (0)   146 *
  703   11.9  0.0  3.7  seq_file    134881   134993 (14937430) C repeat5514 Unspecified    (8)    109      1   147  
  390   15.7  0.0  4.7  seq_file    134953   135019 (14937404) + repeat5517 Unspecified      1     64    (0)   148 *
  254   23.7  1.3  1.3  seq_file    148416   148492 (14923931) + repeat4835 Unspecified     27    103    (0)   149  
  483    0.0  0.0  0.0  seq_file    148556   148616 (14923807) + repeat3609 Unspecified      1     61    (0)   150  
  463    0.0  0.0  0.0  seq_file    148615   148677 (14923746) + repeat3610 Unspecified      1     63    (0)   151 *
  323    0.0  0.0  0.0  seq_file    148693   148733 (14923690) + repeat3611 Unspecified      1     41    (0)   152  
  263   14.3  0.0  0.0  seq_file    169404   169445 (14902978) + repeat7178 Unspecified      1     42    (0)   153 *
  268   13.9  0.0  0.0  seq_file    169410   169452 (14902971) + repeat1225 Unspecified      1     43    (0)   154  
  383   19.1  0.0  2.9  seq_file    184241   184310 (14888113) + repeat67   Unspecified     14     81    (3)   155  
  354   14.0  5.3  0.0  seq_file    184263   184319 (14888104) + repeat428  Unspecified      1     60   (22)   156 *
  335    2.2  0.0  2.2  seq_file    185099   185145 (14887278) C repeat4574 Unspecified    (0)     46      1   157 *
  344    0.0  0.0  0.0  seq_file    185099   185140 (14887283) C repeat4323 Unspecified    (0)     43      2   158  
  319    2.4  0.0  2.4  seq_file    185120   185162 (14887261) C repeat4322 Unspecified    (0)     42      1   159 *
  443    3.5  0.0  0.0  seq_file    185134   185190 (14887233) + repeat4602 Unspecified      1     57    (0)   160 *
  494    1.8  0.0  0.0  seq_file    185142   185198 (14887225) C repeat4579 Unspecified    (0)     57      1   161 *
  982    0.0  0.0  0.0  seq_file    185162   185270 (14887153) + repeat4314 Unspecified      1    109    (0)   162  
  311    0.0  0.0  0.0  seq_file    185242   185275 (14887148) + repeat686  Unspecified      1     34    (0)   163 *
  310    0.0  0.0  0.0  seq_file    185247   185281 (14887142) + repeat4315 Unspecified      1     35    (0)   164 *
  502    0.0  0.0  0.0  seq_file    185253   185307 (14887116) + repeat6    Unspecified      1     55    (0)   165  
  457    0.0  0.0  0.0  seq_file    185280   185329 (14887094) + repeat4604 Unspecified      1     50    (0)   166 *
  530    3.1  0.0  0.0  seq_file    185301   185365 (14887058) + repeat4819 Unspecified      1     65    (0)   167  
  527    0.0  0.0  0.0  seq_file    185338   185398 (14887025) + repeat4606 Unspecified      1     61    (0)   168 *
 1798    0.0  0.0  0.0  seq_file    185370   185576 (14886847) + repeat4605 Unspecified      1    207    (0)   169  
  360    0.0  0.0  0.0  seq_file    185548   185588 (14886835) + repeat4607 Unspecified      1     41    (0)   170 *
  277    0.0  0.0  0.0  seq_file    185560   185592 (14886831) + repeat4821 Unspecified      1     33    (0)   171 *
  429    0.0  0.0  0.0  seq_file    185564   185613 (14886810) + repeat7248 Unspecified      1     50    (0)   172  
  265    0.0  0.0  0.0  seq_file    185585   185622 (14886801) + repeat4608 Unspecified      1     38    (0)   173 *
  477    0.0  0.0  0.0  seq_file    185594   185653 (14886770) + repeat4609 Unspecified      1     60    (0)   174 *
  983    0.0  0.0  0.0  seq_file    185625   185736 (14886687) + repeat4610 Unspecified      1    112    (0)   175  
  316    0.0  0.0  0.0  seq_file    185708   185743 (14886680) + repeat4823 Unspecified      1     36    (0)   176 *
 1328    0.0  0.0  0.0  seq_file    185715   185864 (14886559) + repeat4824 Unspecified      1    150    (0)   177  
 1085    0.0  0.0  0.0  seq_file    185838   185963 (14886460) + repeat7249 Unspecified      1    126    (0)   178 *
  375   12.3  9.5  9.5  seq_file    185852   185977 (14886446) C repeat7249 Unspecified    (0)    126      1   179 *
 1214    4.0  0.0  0.0  seq_file    185951   186099 (14886324) C repeat4824 Unspecified    (0)    150      2   180  
  874    0.0  0.0  0.0  seq_file    186018   186119 (14886304) + repeat4612 Unspecified      1    102    (0)   181 *
  263    0.0  0.0  2.1  seq_file    186091   186139 (14886284) + repeat4613 Unspecified      1     48    (0)   182 *
 5795    0.0  0.0  0.0  seq_file    186111   186749 (14885674) + repeat4318 Unspecified      1    639    (0)   183  
  540    0.0  0.0  0.0  seq_file    186721   186780 (14885643) + repeat4614 Unspecified      1     60    (0)   184 *
 1658    0.0  0.0  0.0  seq_file    186752   186934 (14885489) + repeat4615 Unspecified      1    183    (0)   185  
  343    1.8  0.0 29.0  seq_file    186906   186985 (14885438) + repeat4616 Unspecified      1     62    (0)   186 *
  650    0.0  0.0  0.0  seq_file    186957   187028 (14885395) + repeat4319 Unspecified      1     72    (0)   187  
  838    0.0  0.0  0.0  seq_file    187052   187143 (14885280) + repeat4320 Unspecified      1     92    (0)   188  
  523    0.0  0.0  0.0  seq_file    187115   187173 (14885250) + repeat4618 Unspecified      1     59    (0)   189 *
 9725    0.0  0.0  0.0  seq_file    187145   188198 (14884225) + repeat4321 Unspecified      1   1054    (0)   190  
  799    0.0  0.0  0.0  seq_file    188170   188262 (14884161) + repeat4566 Unspecified      1     93    (0)   191 *
  563    0.0  0.0  0.0  seq_file    188234   188298 (14884125) + repeat4567 Unspecified      1     65    (0)   192 *
  341    0.0  0.0  0.0  seq_file    188270   188312 (14884111) + repeat4568 Unspecified      1     43    (0)   193 *
  784    0.0  0.0  0.0  seq_file    188284   188369 (14884054) + repeat4569 Unspecified      1     86    (0)   194  
  466    0.0  0.0  0.0  seq_file    188341   188394 (14884029) + repeat4570 Unspecified      1     54    (0)   195 *
  523    0.0  0.0  0.0  seq_file    188368   188424 (14883999) + repeat4571 Unspecified      1     57    (0)   196 *
  685    0.0  0.0  0.0  seq_file    188396   188472 (14883951) + repeat4619 Unspecified      1     77    (0)   197  
  683    0.0  0.0  0.0  seq_file    188443   188518 (14883905) C repeat4314 Unspecified   (33)     76      1   198 *
  507    0.0  0.0  0.0  seq_file    188482   188538 (14883885) + repeat4579 Unspecified      1     57    (0)   199 *
  476    0.0  0.0  0.0  seq_file    188490   188546 (14883877) C repeat4602 Unspecified    (0)     57      1   200 *
  334    0.0  0.0  2.4  seq_file    188518   188560 (14883863) + repeat4322 Unspecified      1     42    (0)   201 *
  348    0.0  0.0  0.0  seq_file    188539   188581 (14883842) + repeat4323 Unspecified      1     43    (0)   202  
  337   20.0  1.3  0.0  seq_file    188597   188671 (14883752) + repeat428  Unspecified      1     76    (6)   203  
  515   14.0  0.0  2.3  seq_file    192453   192540 (14879883) C repeat5514 Unspecified   (16)    101     16   204  
  274    0.0  0.0  0.0  seq_file    196919   196952 (14875471) + repeat3    Unspecified      1     34    (0)   205 *
  276    0.0  0.0  0.0  seq_file    196924   196954 (14875469) + repeat1432 Unspecified      1     31    (0)   206 *
  294    0.0  0.0  0.0  seq_file    196929   196962 (14875461) + repeat1433 Unspecified      1     34    (0)   207 *
  443    0.0  0.0  0.0  seq_file    196934   196984 (14875439) + repeat5047 Unspecified      1     51    (0)   208  
  326    0.0  0.0  0.0  seq_file    196956   196992 (14875431) + repeat7263 Unspecified      1     37    (0)   209 *
  503    1.7  0.0  0.0  seq_file    196964   197022 (14875401) + repeat5048 Unspecified      1     59    (0)   210  
  391    0.0  0.0  0.0  seq_file    196997   197039 (14875384) + repeat5031 Unspecified      1     43    (0)   211 *
  327    0.0  0.0  0.0  seq_file    197012   197047 (14875376) + repeat1434 Unspecified      1     36    (0)   212 *
  312    0.0  0.0  0.0  seq_file    197024   197058 (14875365) + repeat6216 Unspecified      1     35    (0)   213 *
  482    0.0  0.0  0.0  seq_file    197031   197083 (14875340) + repeat7339 Unspecified      1     53    (0)   214  
  316   17.1  0.0 16.7  seq_file    197044   197141 (14875282) + repeat5024 Unspecified      1     84    (8)   215 *
  548    0.0  0.0  0.0  seq_file    197058   197118 (14875305) + repeat4370 Unspecified      1     61    (0)   216  
  317    0.0  0.0  0.0  seq_file    197093   197128 (14875295) + repeat3657 Unspecified      1     36    (0)   217 *
  330    0.0  0.0  0.0  seq_file    197100   197136 (14875287) + repeat7175 Unspecified      1     37    (0)   218 *
  469    0.0  0.0  0.0  seq_file    197108   197158 (14875265) + repeat4706 Unspecified      1     51    (0)   219  
  324    0.0  0.0  0.0  seq_file    197130   197164 (14875259) + repeat6217 Unspecified      1     35    (0)   220 *
  288    3.0  0.0  0.0  seq_file    197139   197171 (14875252) + repeat6493 Unspecified      1     33    (0)   221 *
  267    5.4  0.0  0.0  seq_file    200751   200787 (14871636) C repeat2407 Unspecified    (0)     37      1   222  
  263    7.9  0.0  0.0  seq_file    200768   200805 (14871618) C repeat2078 Unspecified    (0)     38      1   223 *
  248   12.5  0.0  0.0  seq_file    200777   200816 (14871607) C repeat2289 Unspecified    (0)     40      1   224 *
  269    3.0  0.0  0.0  seq_file    200836   200868 (14871555) + repeat7081 Unspecified     13     45    (0)   225  
  256   11.4  2.3  0.0  seq_file    201178   201221 (14871202) C repeat7081 Unspecified    (0)     45      1   226 *
  336   16.9  0.0  2.8  seq_file    201193   201265 (14871158) C repeat3781 Unspecified   (28)     71      1   227  
  260   12.5  0.0  0.0  seq_file    201231   201270 (14871153) + repeat2289 Unspecified      1     40    (0)   228 *
  269    3.1  0.0  0.0  seq_file    205785   205816 (14866607) + repeat2986 Unspecified      1     32    (0)   229 *
  296    0.0  0.0  0.0  seq_file    205803   205834 (14866589) + repeat2    Unspecified      1     32    (0)   230  
  266    0.0  0.0  0.0  seq_file    205819   205850 (14866573) + repeat2980 Unspecified      1     32    (0)   231 *
  266    4.9  0.0  0.0  seq_file    205829   205869 (14866554) + repeat5189 Unspecified      1     41    (0)   232 *
  395    0.0  0.0  0.0  seq_file    205839   205884 (14866539) + repeat2987 Unspecified      1     46    (0)   233  
  274    0.0  0.0  0.0  seq_file    206095   206128 (14866295) + repeat3    Unspecified      1     34    (0)   234 *
  276    0.0  0.0  0.0  seq_file    206100   206130 (14866293) + repeat1432 Unspecified      1     31    (0)   235 *
  294    0.0  0.0  0.0  seq_file    206105   206138 (14866285) + repeat1433 Unspecified      1     34    (0)   236 *
  443    0.0  0.0  0.0  seq_file    206110   206160 (14866263) + repeat5047 Unspecified      1     51    (0)   237  
  326    0.0  0.0  0.0  seq_file    206132   206168 (14866255) + repeat7263 Unspecified      1     37    (0)   238 *
  503    1.7  0.0  0.0  seq_file    206140   206198 (14866225) + repeat5048 Unspecified      1     59    (0)   239  
  391    0.0  0.0  0.0  seq_file    206173   206215 (14866208) + repeat5031 Unspecified      1     43    (0)   240 *
  327    0.0  0.0  0.0  seq_file    206188   206223 (14866200) + repeat1434 Unspecified      1     36    (0)   241 *
  312    0.0  0.0  0.0  seq_file    206200   206234 (14866189) + repeat6216 Unspecified      1     35    (0)   242 *
  482    0.0  0.0  0.0  seq_file    206207   206259 (14866164) + repeat7339 Unspecified      1     53    (0)   243  
  316   17.1  0.0 16.7  seq_file    206220   206317 (14866106) + repeat5024 Unspecified      1     84    (8)   244 *
  548    0.0  0.0  0.0  seq_file    206234   206294 (14866129) + repeat4370 Unspecified      1     61    (0)   245  
  317    0.0  0.0  0.0  seq_file    206269   206304 (14866119) + repeat3657 Unspecified      1     36    (0)   246 *
  330    0.0  0.0  0.0  seq_file    206276   206312 (14866111) + repeat7175 Unspecified      1     37    (0)   247 *
  469    0.0  0.0  0.0  seq_file    206284   206334 (14866089) + repeat4706 Unspecified      1     51    (0)   248  
  324    0.0  0.0  0.0  seq_file    206306   206340 (14866083) + repeat6217 Unspecified      1     35    (0)   249 *
