tool	label	seed	w	l	f	size	time	mem
phRAIDER	hg38.chr22	136	40	50	2	51665450	96.71	4795768.0
phRAIDER	hg38.chr22	137	40	50	2	51665450	81.19	4788244.0
phRAIDER	hg38.chr22	138	40	50	2	51665450	97.07	4792028.0
phRAIDER	hg38.chr22	139	40	50	2	51665450	80.99	4790788.0
phRAIDER	hg38.chr22	14	48	48	2	51665450	98.86	4726284.0
phRAIDER	hg38.chr22	140	40	50	2	51665450	80.57	4787328.0
phRAIDER	hg38.chr22	141	40	50	2	51665450	95.97	4791844.0
phRAIDER	hg38.chr22	142	40	50	2	51665450	80.73	4795756.0
phRAIDER	hg38.chr22	143	40	50	2	51665450	80.36	4797904.0
phRAIDER	hg38.chr22	144	40	50	2	51665450	95.76	4788532.0
phRAIDER	hg38.chr22	145	40	50	2	51665450	79.28	4796156.0
phRAIDER	hg38.chr22	146	40	50	2	51665450	80.69	4788528.0
phRAIDER	hg38.chr22	147	40	50	2	51665450	96.73	4784676.0
phRAIDER	hg38.chr22	148	40	50	2	51665450	80.88	4799208.0
phRAIDER	hg38.chr22	149	40	50	2	51665450	86.44	4794208.0
phRAIDER	hg38.chr22	15	50	50	2	51665450	79.13	4726624.0
phRAIDER	hg38.chr22	150	40	50	2	51665450	96.64	4789344.0
phRAIDER	hg38.chr22	151	40	50	2	51665450	80.87	4787728.0
phRAIDER	hg38.chr22	152	40	50	2	51665450	81.21	4794584.0
phRAIDER	hg38.chr22	153	40	50	2	51665450	93.26	4763732.0
phRAIDER	hg38.chr22	154	40	50	2	51665450	79.91	4796900.0
phRAIDER	hg38.chr22	155	40	50	2	51665450	81.57	4788532.0
phRAIDER	hg38.chr22	156	40	50	2	51665450	80.68	4793376.0
phRAIDER	hg38.chr22	157	40	50	2	51665450	95.84	4793604.0
phRAIDER	hg38.chr22	158	40	50	2	51665450	79.61	4791264.0
phRAIDER	hg38.chr22	159	40	50	2	51665450	79.85	4787156.0
phRAIDER	hg38.chr22	16	52	52	2	51665450	96.48	4726088.0
phRAIDER	hg38.chr22	160	40	50	2	51665450	97.22	4795924.0
phRAIDER	hg38.chr22	161	40	52	2	51665450	81.7	4807652.0
phRAIDER	hg38.chr22	162	40	52	2	51665450	82.31	4795888.0
phRAIDER	hg38.chr22	163	40	52	2	51665450	98.23	4809728.0
phRAIDER	hg38.chr22	164	40	52	2	51665450	82.02	4800968.0
phRAIDER	hg38.chr22	165	40	52	2	51665450	82.0	4800332.0
phRAIDER	hg38.chr22	166	40	52	2	51665450	97.7	4798212.0
phRAIDER	hg38.chr22	167	40	52	2	51665450	81.57	4809712.0
phRAIDER	hg38.chr22	168	40	52	2	51665450	82.62	4795520.0
phRAIDER	hg38.chr22	169	40	52	2	51665450	97.43	4787884.0
phRAIDER	hg38.chr22	17	54	54	2	51665450	83.3	4725936.0
phRAIDER	hg38.chr22	170	40	52	2	51665450	80.95	4800220.0
phRAIDER	hg38.chr22	171	40	52	2	51665450	83.1	4803468.0
phRAIDER	hg38.chr22	172	40	52	2	51665450	97.72	4804084.0
phRAIDER	hg38.chr22	173	40	52	2	51665450	82.25	4799752.0
phRAIDER	hg38.chr22	174	40	52	2	51665450	80.59	4785632.0
phRAIDER	hg38.chr22	175	40	52	2	51665450	96.96	4797068.0
phRAIDER	hg38.chr22	176	40	52	2	51665450	82.5	4808084.0
phRAIDER	hg38.chr22	177	40	52	2	51665450	80.7	4785716.0
phRAIDER	hg38.chr22	178	40	52	2	51665450	97.81	4800896.0
phRAIDER	hg38.chr22	179	40	52	2	51665450	88.15	4803652.0
phRAIDER	hg38.chr22	18	56	56	2	51665450	85.79	4726588.0
phRAIDER	hg38.chr22	180	40	52	2	51665450	79.79	4796708.0
phRAIDER	hg38.chr22	181	40	54	2	51665450	99.64	4811812.0
phRAIDER	hg38.chr22	182	40	54	2	51665450	83.62	4807000.0
phRAIDER	hg38.chr22	183	40	54	2	51665450	83.87	4809396.0
phRAIDER	hg38.chr22	184	40	54	2	51665450	101.28	4797872.0
phRAIDER	hg38.chr22	185	40	54	2	51665450	81.83	4799004.0
phRAIDER	hg38.chr22	186	40	54	2	51665450	84.18	4807156.0
phRAIDER	hg38.chr22	187	40	54	2	51665450	98.41	4800880.0
phRAIDER	hg38.chr22	188	40	54	2	51665450	83.67	4801952.0
phRAIDER	hg38.chr22	189	40	54	2	51665450	84.56	4806112.0
phRAIDER	hg38.chr22	19	58	58	2	51665450	101.76	4726372.0
phRAIDER	hg38.chr22	190	40	54	2	51665450	99.33	4799024.0
phRAIDER	hg38.chr22	191	40	54	2	51665450	83.74	4812112.0
phRAIDER	hg38.chr22	192	40	54	2	51665450	83.19	4799228.0
phRAIDER	hg38.chr22	193	40	54	2	51665450	104.02	4797000.0
phRAIDER	hg38.chr22	194	40	54	2	51665450	82.34	4803296.0
phRAIDER	hg38.chr22	195	40	54	2	51665450	84.09	4810868.0
phRAIDER	hg38.chr22	196	40	54	2	51665450	97.53	4802004.0
phRAIDER	hg38.chr22	197	40	54	2	51665450	83.14	4815060.0
phRAIDER	hg38.chr22	198	40	54	2	51665450	83.57	4802492.0
phRAIDER	hg38.chr22	199	40	54	2	51665450	95.84	4796740.0
phRAIDER	hg38.chr22	2	24	24	2	51665450	72.81	4543612.0
phRAIDER	hg38.chr22	20	60	60	2	51665450	88.51	4726352.0
phRAIDER	hg38.chr22	200	40	54	2	51665450	85.5	4801928.0
phRAIDER	hg38.chr22	201	40	56	2	51665450	99.33	4806424.0
phRAIDER	hg38.chr22	202	40	56	2	51665450	84.78	4811464.0
phRAIDER	hg38.chr22	203	40	56	2	51665450	85.09	4804512.0
phRAIDER	hg38.chr22	204	40	56	2	51665450	100.96	4806896.0
phRAIDER	hg38.chr22	205	40	56	2	51665450	84.88	4810248.0
phRAIDER	hg38.chr22	206	40	56	2	51665450	92.04	4792936.0
phRAIDER	hg38.chr22	207	40	56	2	51665450	98.59	4803040.0
phRAIDER	hg38.chr22	208	40	56	2	51665450	82.99	4804620.0
phRAIDER	hg38.chr22	209	40	56	2	51665450	91.21	4807568.0
phRAIDER	hg38.chr22	21	40	44	2	51665450	76.03	4770172.0
phRAIDER	hg38.chr22	210	40	56	2	51665450	100.45	4796312.0
phRAIDER	hg38.chr22	211	40	56	2	51665450	85.08	4815808.0
phRAIDER	hg38.chr22	212	40	56	2	51665450	82.72	4787132.0
phRAIDER	hg38.chr22	213	40	56	2	51665450	99.77	4820488.0
phRAIDER	hg38.chr22	214	40	56	2	51665450	84.59	4798300.0
phRAIDER	hg38.chr22	215	40	56	2	51665450	84.44	4804760.0
phRAIDER	hg38.chr22	216	40	56	2	51665450	99.76	4815408.0
phRAIDER	hg38.chr22	217	40	56	2	51665450	84.73	4813380.0
phRAIDER	hg38.chr22	218	40	56	2	51665450	85.02	4802488.0
phRAIDER	hg38.chr22	219	40	56	2	51665450	100.91	4805620.0
phRAIDER	hg38.chr22	22	40	44	2	51665450	76.28	4765216.0
phRAIDER	hg38.chr22	220	40	56	2	51665450	84.94	4809444.0
phRAIDER	hg38.chr22	221	40	56	2	51665450	91.48	4805176.0
phRAIDER	hg38.chr22	222	40	56	2	51665450	100.03	4805776.0
phRAIDER	hg38.chr22	223	40	56	2	51665450	84.16	4805012.0
phRAIDER	hg38.chr22	224	40	56	2	51665450	83.49	4814096.0
phRAIDER	hg38.chr22	225	40	56	2	51665450	100.38	4805700.0
phRAIDER	hg38.chr22	226	40	56	2	51665450	84.42	4809132.0
phRAIDER	hg38.chr22	227	40	56	2	51665450	84.67	4803636.0
phRAIDER	hg38.chr22	228	40	56	2	51665450	100.23	4818984.0
phRAIDER	hg38.chr22	229	40	56	2	51665450	84.21	4815520.0
phRAIDER	hg38.chr22	23	40	44	2	51665450	76.14	4774736.0
phRAIDER	hg38.chr22	230	40	56	2	51665450	91.12	4810640.0
phRAIDER	hg38.chr22	231	40	56	2	51665450	84.6	4814120.0
phRAIDER	hg38.chr22	232	40	56	2	51665450	85.46	4812332.0
phRAIDER	hg38.chr22	233	40	56	2	51665450	97.28	4808008.0
phRAIDER	hg38.chr22	234	40	56	2	51665450	84.87	4807956.0
phRAIDER	hg38.chr22	235	40	56	2	51665450	85.41	4814716.0
phRAIDER	hg38.chr22	236	40	56	2	51665450	100.21	4809840.0
phRAIDER	hg38.chr22	237	40	56	2	51665450	87.02	4811596.0
phRAIDER	hg38.chr22	238	40	56	2	51665450	90.51	4809144.0
phRAIDER	hg38.chr22	239	40	56	2	51665450	86.82	4807476.0
phRAIDER	hg38.chr22	24	40	44	2	51665450	89.67	4761224.0
phRAIDER	hg38.chr22	240	40	56	2	51665450	101.6	4816396.0
phRAIDER	hg38.chr22	244	27	27	2	51665450	59.67	4624796.0
phRAIDER	hg38.chr22	245	29	29	2	51665450	61.1	4669980.0
phRAIDER	hg38.chr22	246	31	31	2	51665450	63.2	4709636.0
phRAIDER	hg38.chr22	247	33	33	2	51665450	66.59	4727080.0
phRAIDER	hg38.chr22	248	35	35	2	51665450	66.18	4727348.0
phRAIDER	hg38.chr22	249	37	37	2	51665450	68.0	4727224.0
phRAIDER	hg38.chr22	25	40	44	2	51665450	75.13	4776544.0
phRAIDER	hg38.chr22	250	39	39	2	51665450	69.22	4726560.0
phRAIDER	hg38.chr22	251	41	41	2	51665450	71.49	4727276.0
phRAIDER	hg38.chr22	252	43	43	2	51665450	73.01	4726640.0
phRAIDER	hg38.chr22	253	45	45	2	51665450	80.51	4727516.0
phRAIDER	hg38.chr22	254	47	47	2	51665450	77.18	4726376.0
phRAIDER	hg38.chr22	255	49	49	2	51665450	78.66	4727400.0
phRAIDER	hg38.chr22	256	51	51	2	51665450	80.32	4726544.0
phRAIDER	hg38.chr22	257	53	53	2	51665450	82.39	4726348.0
phRAIDER	hg38.chr22	258	55	55	2	51665450	84.12	4726804.0
phRAIDER	hg38.chr22	259	57	57	2	51665450	85.28	4726944.0
phRAIDER	hg38.chr22	26	40	44	2	51665450	77.76	4765384.0
phRAIDER	hg38.chr22	260	59	59	2	51665450	87.62	4726212.0
phRAIDER	hg38.chr22	261	61	61	2	51665450	89.8	4726248.0
phRAIDER	hg38.chr22	262	62	62	2	51665450	90.46	4726600.0
phRAIDER	hg38.chr22	263	63	63	2	51665450	92.29	4726860.0
phRAIDER	hg38.chr22	264	64	64	2	51665450	92.09	4725324.0
phRAIDER	hg38.chr22	265	65	65	2	51665450	93.17	4726856.0
phRAIDER	hg38.chr22	266	66	66	2	51665450	93.92	4727060.0
phRAIDER	hg38.chr22	267	67	67	2	51665450	94.61	4725144.0
phRAIDER	hg38.chr22	268	68	68	2	51665450	96.49	4725492.0
phRAIDER	hg38.chr22	269	69	69	2	51665450	105.09	4727028.0
phRAIDER	hg38.chr22	27	40	44	2	51665450	89.98	4761880.0
phRAIDER	hg38.chr22	270	70	70	2	51665450	97.45	4726900.0
phRAIDER	hg38.chr22	271	71	71	2	51665450	98.31	4726384.0
phRAIDER	hg38.chr22	272	72	72	2	51665450	108.33	4725680.0
phRAIDER	hg38.chr22	273	73	73	2	51665450	101.33	4726824.0
phRAIDER	hg38.chr22	274	74	74	2	51665450	101.27	4726392.0
phRAIDER	hg38.chr22	275	75	75	2	51665450	106.0	4724924.0
phRAIDER	hg38.chr22	276	76	76	2	51665450	103.11	4725904.0
phRAIDER	hg38.chr22	277	77	77	2	51665450	103.28	4725620.0
phRAIDER	hg38.chr22	278	78	78	2	51665450	105.18	4724976.0
phRAIDER	hg38.chr22	279	79	79	2	51665450	105.7	4726168.0
phRAIDER	hg38.chr22	28	40	44	2	51665450	75.49	4774888.0
phRAIDER	hg38.chr22	280	80	80	2	51665450	106.35	4726600.0
phRAIDER	hg38.chr22	281	81	81	2	51665450	107.27	4727120.0
phRAIDER	hg38.chr22	282	82	82	2	51665450	108.47	4727808.0
phRAIDER	hg38.chr22	283	83	83	2	51665450	109.35	4726912.0
phRAIDER	hg38.chr22	284	84	84	2	51665450	109.89	4727456.0
phRAIDER	hg38.chr22	285	85	85	2	51665450	110.96	4727740.0
phRAIDER	hg38.chr22	286	86	86	2	51665450	111.48	4726768.0
phRAIDER	hg38.chr22	287	87	87	2	51665450	115.98	4727828.0
phRAIDER	hg38.chr22	288	88	88	2	51665450	113.78	4727136.0
phRAIDER	hg38.chr22	289	89	89	2	51665450	114.5	4727132.0
phRAIDER	hg38.chr22	29	40	44	2	51665450	76.45	4774048.0
phRAIDER	hg38.chr22	290	90	90	2	51665450	118.05	4727424.0
phRAIDER	hg38.chr22	291	91	91	2	51665450	116.32	4727104.0
phRAIDER	hg38.chr22	292	92	92	2	51665450	116.76	4726816.0
phRAIDER	hg38.chr22	293	93	93	2	51665450	117.72	4725572.0
phRAIDER	hg38.chr22	294	94	94	2	51665450	119.01	4727292.0
phRAIDER	hg38.chr22	295	95	95	2	51665450	119.73	4727132.0
phRAIDER	hg38.chr22	296	96	96	2	51665450	120.45	4727308.0
phRAIDER	hg38.chr22	297	97	97	2	51665450	122.05	4725632.0
phRAIDER	hg38.chr22	298	98	98	2	51665450	122.35	4725864.0
phRAIDER	hg38.chr22	299	99	99	2	51665450	123.36	4727540.0
phRAIDER	hg38.chr22	3	26	26	2	51665450	74.73	4598440.0
phRAIDER	hg38.chr22	30	40	44	2	51665450	91.69	4775540.0
phRAIDER	hg38.chr22	300	100	100	2	51665450	124.28	4726748.0
phRAIDER	hg38.chr22	301	40	42	2	51665450	74.18	4753568.0
phRAIDER	hg38.chr22	302	40	42	2	51665450	73.74	4758080.0
phRAIDER	hg38.chr22	303	40	42	2	51665450	74.19	4760476.0
phRAIDER	hg38.chr22	304	40	42	2	51665450	73.61	4758900.0
phRAIDER	hg38.chr22	305	40	42	2	51665450	79.29	4760196.0
phRAIDER	hg38.chr22	306	40	42	2	51665450	73.25	4744608.0
phRAIDER	hg38.chr22	307	40	42	2	51665450	73.59	4760196.0
phRAIDER	hg38.chr22	308	40	42	2	51665450	74.13	4759844.0
phRAIDER	hg38.chr22	309	40	42	2	51665450	73.64	4757856.0
phRAIDER	hg38.chr22	31	40	44	2	51665450	75.7	4767300.0
phRAIDER	hg38.chr22	310	40	42	2	51665450	73.89	4759892.0
phRAIDER	hg38.chr22	311	40	42	2	51665450	72.35	4735924.0
phRAIDER	hg38.chr22	312	40	42	2	51665450	73.69	4752504.0
phRAIDER	hg38.chr22	313	40	42	2	51665450	78.71	4745648.0
phRAIDER	hg38.chr22	314	40	42	2	51665450	73.77	4755104.0
phRAIDER	hg38.chr22	315	40	42	2	51665450	74.0	4758840.0
phRAIDER	hg38.chr22	316	40	42	2	51665450	73.57	4746772.0
phRAIDER	hg38.chr22	317	40	42	2	51665450	74.36	4742572.0
phRAIDER	hg38.chr22	318	40	42	2	51665450	72.87	4742452.0
phRAIDER	hg38.chr22	319	40	42	2	51665450	74.39	4745640.0
phRAIDER	hg38.chr22	32	40	44	2	51665450	75.51	4749696.0
phRAIDER	hg38.chr22	320	40	42	2	51665450	78.26	4742048.0
phRAIDER	hg38.chr22	321	40	44	2	51665450	75.75	4769612.0
phRAIDER	hg38.chr22	322	40	44	2	51665450	79.0	4749936.0
phRAIDER	hg38.chr22	323	40	44	2	51665450	75.91	4771736.0
phRAIDER	hg38.chr22	324	40	44	2	51665450	78.45	4761792.0
phRAIDER	hg38.chr22	325	40	44	2	51665450	75.72	4771876.0
phRAIDER	hg38.chr22	326	40	44	2	51665450	75.76	4770100.0
phRAIDER	hg38.chr22	327	40	44	2	51665450	75.92	4776864.0
phRAIDER	hg38.chr22	328	40	44	2	51665450	74.88	4750932.0
phRAIDER	hg38.chr22	329	40	44	2	51665450	75.44	4752552.0
phRAIDER	hg38.chr22	33	40	44	2	51665450	91.04	4764164.0
phRAIDER	hg38.chr22	330	40	44	2	51665450	81.37	4768524.0
phRAIDER	hg38.chr22	331	40	44	2	51665450	75.62	4768112.0
phRAIDER	hg38.chr22	332	40	44	2	51665450	77.01	4750292.0
phRAIDER	hg38.chr22	333	40	44	2	51665450	75.99	4755856.0
phRAIDER	hg38.chr22	334	40	44	2	51665450	75.8	4763328.0
phRAIDER	hg38.chr22	335	40	44	2	51665450	76.66	4768960.0
phRAIDER	hg38.chr22	336	40	44	2	51665450	76.99	4775636.0
phRAIDER	hg38.chr22	337	40	44	2	51665450	75.93	4775412.0
phRAIDER	hg38.chr22	338	40	44	2	51665450	76.18	4765200.0
phRAIDER	hg38.chr22	339	40	44	2	51665450	76.12	4768396.0
phRAIDER	hg38.chr22	34	40	44	2	51665450	76.56	4754900.0
phRAIDER	hg38.chr22	340	40	44	2	51665450	75.74	4769756.0
phRAIDER	hg38.chr22	341	40	44	2	51665450	75.8	4763784.0
phRAIDER	hg38.chr22	342	40	44	2	51665450	75.32	4766800.0
phRAIDER	hg38.chr22	343	40	44	2	51665450	75.12	4769896.0
phRAIDER	hg38.chr22	344	40	44	2	51665450	75.41	4765844.0
phRAIDER	hg38.chr22	345	40	44	2	51665450	76.49	4769676.0
phRAIDER	hg38.chr22	346	40	44	2	51665450	76.73	4774772.0
phRAIDER	hg38.chr22	347	40	46	2	51665450	77.88	4786904.0
phRAIDER	hg38.chr22	348	40	46	2	51665450	77.02	4780328.0
phRAIDER	hg38.chr22	349	40	46	2	51665450	77.22	4779836.0
phRAIDER	hg38.chr22	35	40	44	2	51665450	75.91	4760452.0
phRAIDER	hg38.chr22	350	40	46	2	51665450	76.51	4760512.0
phRAIDER	hg38.chr22	351	40	46	2	51665450	76.92	4770552.0
phRAIDER	hg38.chr22	352	40	46	2	51665450	83.58	4778704.0
phRAIDER	hg38.chr22	353	40	46	2	51665450	77.55	4782152.0
phRAIDER	hg38.chr22	354	40	46	2	51665450	79.24	4777220.0
phRAIDER	hg38.chr22	355	40	46	2	51665450	78.29	4778584.0
phRAIDER	hg38.chr22	356	40	46	2	51665450	82.66	4781900.0
phRAIDER	hg38.chr22	357	40	46	2	51665450	83.83	4780956.0
phRAIDER	hg38.chr22	358	40	46	2	51665450	76.94	4757428.0
phRAIDER	hg38.chr22	359	40	46	2	51665450	77.69	4782108.0
phRAIDER	hg38.chr22	36	40	44	2	51665450	91.51	4772572.0
phRAIDER	hg38.chr22	360	40	46	2	51665450	77.93	4785840.0
phRAIDER	hg38.chr22	361	40	46	2	51665450	76.66	4784736.0
phRAIDER	hg38.chr22	362	40	46	2	51665450	77.37	4777580.0
phRAIDER	hg38.chr22	363	40	46	2	51665450	77.48	4788184.0
phRAIDER	hg38.chr22	364	40	46	2	51665450	76.68	4761916.0
phRAIDER	hg38.chr22	365	40	46	2	51665450	78.54	4787968.0
phRAIDER	hg38.chr22	366	40	46	2	51665450	77.0	4777896.0
phRAIDER	hg38.chr22	367	40	46	2	51665450	77.0	4771904.0
phRAIDER	hg38.chr22	368	40	46	2	51665450	74.73	4778020.0
phRAIDER	hg38.chr22	369	40	46	2	51665450	78.56	4777784.0
phRAIDER	hg38.chr22	37	40	44	2	51665450	74.06	4767232.0
phRAIDER	hg38.chr22	370	40	46	2	51665450	76.85	4784924.0
phRAIDER	hg38.chr22	371	40	46	2	51665450	78.12	4780784.0
phRAIDER	hg38.chr22	372	40	46	2	51665450	76.01	4759712.0
phRAIDER	hg38.chr22	373	40	46	2	51665450	77.52	4784416.0
phRAIDER	hg38.chr22	374	40	46	2	51665450	77.03	4778636.0
phRAIDER	hg38.chr22	375	40	46	2	51665450	77.33	4779440.0
phRAIDER	hg38.chr22	376	40	46	2	51665450	76.36	4760344.0
phRAIDER	hg38.chr22	377	40	48	2	51665450	79.2	4785892.0
phRAIDER	hg38.chr22	378	40	48	2	51665450	78.59	4790700.0
phRAIDER	hg38.chr22	379	40	48	2	51665450	79.36	4781908.0
phRAIDER	hg38.chr22	38	40	44	2	51665450	76.08	4775112.0
phRAIDER	hg38.chr22	380	40	48	2	51665450	80.22	4780832.0
phRAIDER	hg38.chr22	381	40	48	2	51665450	78.1	4772152.0
phRAIDER	hg38.chr22	382	40	48	2	51665450	79.04	4793888.0
phRAIDER	hg38.chr22	383	40	48	2	51665450	78.85	4782980.0
phRAIDER	hg38.chr22	384	40	48	2	51665450	83.88	4788928.0
phRAIDER	hg38.chr22	385	40	48	2	51665450	79.19	4780260.0
phRAIDER	hg38.chr22	386	40	48	2	51665450	80.03	4790044.0
phRAIDER	hg38.chr22	387	40	48	2	51665450	79.47	4785440.0
phRAIDER	hg38.chr22	388	40	48	2	51665450	79.84	4794404.0
phRAIDER	hg38.chr22	389	40	48	2	51665450	84.38	4781464.0
phRAIDER	hg38.chr22	39	40	44	2	51665450	93.24	4768384.0
phRAIDER	hg38.chr22	390	40	48	2	51665450	79.23	4790624.0
phRAIDER	hg38.chr22	391	40	48	2	51665450	77.72	4776244.0
phRAIDER	hg38.chr22	392	40	48	2	51665450	79.24	4792620.0
phRAIDER	hg38.chr22	393	40	48	2	51665450	77.95	4788660.0
phRAIDER	hg38.chr22	394	40	48	2	51665450	78.81	4794836.0
phRAIDER	hg38.chr22	395	40	48	2	51665450	79.23	4783060.0
phRAIDER	hg38.chr22	396	40	48	2	51665450	79.95	4793232.0
phRAIDER	hg38.chr22	397	40	48	2	51665450	78.53	4793264.0
phRAIDER	hg38.chr22	398	40	48	2	51665450	79.43	4782164.0
phRAIDER	hg38.chr22	399	40	48	2	51665450	78.59	4772792.0
phRAIDER	hg38.chr22	4	28	28	2	51665450	75.37	4646672.0
phRAIDER	hg38.chr22	40	40	44	2	51665450	75.12	4773528.0
phRAIDER	hg38.chr22	400	40	48	2	51665450	81.44	4785532.0
phRAIDER	hg38.chr22	401	40	48	2	51665450	79.14	4794372.0
phRAIDER	hg38.chr22	402	40	48	2	51665450	79.15	4792436.0
phRAIDER	hg38.chr22	403	40	48	2	51665450	79.32	4794252.0
phRAIDER	hg38.chr22	404	40	48	2	51665450	78.95	4784172.0
phRAIDER	hg38.chr22	405	40	48	2	51665450	80.38	4782048.0
phRAIDER	hg38.chr22	406	40	48	2	51665450	79.08	4781900.0
phRAIDER	hg38.chr22	407	40	48	2	51665450	78.3	4778668.0
phRAIDER	hg38.chr22	408	40	48	2	51665450	79.12	4787272.0
phRAIDER	hg38.chr22	409	40	48	2	51665450	77.85	4774128.0
phRAIDER	hg38.chr22	41	40	44	2	51665450	77.19	4767588.0
phRAIDER	hg38.chr22	410	40	48	2	51665450	79.73	4784412.0
phRAIDER	hg38.chr22	411	40	48	2	51665450	83.12	4788956.0
phRAIDER	hg38.chr22	412	40	48	2	51665450	78.45	4796480.0
phRAIDER	hg38.chr22	413	40	48	2	51665450	79.7	4792628.0
phRAIDER	hg38.chr22	414	40	48	2	51665450	80.57	4784928.0
phRAIDER	hg38.chr22	415	40	48	2	51665450	78.94	4795224.0
phRAIDER	hg38.chr22	416	40	48	2	51665450	79.87	4789144.0
phRAIDER	hg38.chr22	417	40	50	2	51665450	78.63	4792108.0
phRAIDER	hg38.chr22	418	40	50	2	51665450	79.84	4795148.0
phRAIDER	hg38.chr22	419	40	50	2	51665450	81.32	4802088.0
phRAIDER	hg38.chr22	42	40	44	2	51665450	97.04	4773208.0
phRAIDER	hg38.chr22	420	40	50	2	51665450	80.38	4783492.0
phRAIDER	hg38.chr22	421	40	50	2	51665450	80.8	4795340.0
phRAIDER	hg38.chr22	422	40	50	2	51665450	79.79	4800632.0
phRAIDER	hg38.chr22	423	40	50	2	51665450	82.95	4794092.0
phRAIDER	hg38.chr22	424	40	50	2	51665450	80.44	4799772.0
phRAIDER	hg38.chr22	425	40	50	2	51665450	80.06	4788808.0
phRAIDER	hg38.chr22	426	40	50	2	51665450	78.21	4787560.0
phRAIDER	hg38.chr22	427	40	50	2	51665450	80.92	4791580.0
phRAIDER	hg38.chr22	428	40	50	2	51665450	80.6	4789376.0
phRAIDER	hg38.chr22	429	40	50	2	51665450	78.95	4790552.0
phRAIDER	hg38.chr22	43	40	44	2	51665450	75.76	4773012.0
phRAIDER	hg38.chr22	430	40	50	2	51665450	85.37	4795200.0
phRAIDER	hg38.chr22	431	40	50	2	51665450	80.37	4797836.0
phRAIDER	hg38.chr22	432	40	50	2	51665450	80.71	4796692.0
phRAIDER	hg38.chr22	433	40	50	2	51665450	80.69	4797068.0
phRAIDER	hg38.chr22	434	40	50	2	51665450	80.31	4793932.0
phRAIDER	hg38.chr22	435	40	50	2	51665450	80.99	4790312.0
phRAIDER	hg38.chr22	436	40	50	2	51665450	79.34	4786444.0
phRAIDER	hg38.chr22	437	40	50	2	51665450	80.71	4793980.0
phRAIDER	hg38.chr22	438	40	50	2	51665450	80.25	4793216.0
phRAIDER	hg38.chr22	439	40	50	2	51665450	81.67	4799304.0
phRAIDER	hg38.chr22	44	40	44	2	51665450	79.84	4750040.0
